>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.txt
4932.YDR237W	4932.YPR043W
4932.YER177W	4932.YMR043W
4932.YCR018C	4932.YDR146C
4932.YFL066C	4932.YIR001C
4932.YNL302C	4932.YPR166C
4932.YBR251W	4932.YGL068W
4932.YIL036W	4932.YKR034W
4932.YKL145W	4932.YMR104C
4932.YAL062W	4932.YDR028C
4932.YDL229W	4932.YOR233W
4932.YDL208W	4932.YNL069C
4932.YBL076C	4932.YNL229C
4932.YBR212W	4932.YMR216C
4932.YER165W	4932.YER176W
4932.YLR167W	4932.YMR121C
4932.YKR029C	4932.YMR182C
4932.YDL134C	4932.YOR257W
4932.YER013W	4932.YKL203C
4932.YGR027C	4932.YKL203C
4932.YHR128W	4932.YIL063C
4932.YDR115W	4932.YLR178C
4932.YEL056W	4932.YLR167W
4932.YDR224C	4932.YGR056W
4932.YLR347C	4932.YPR065W
4932.YDR385W	4932.YNL209W
4932.YGL031C	4932.YPL090C
4932.YMR043W	4932.YPL128C
4932.YBR136W	4932.YDR217C
4932.YKL124W	4932.YKL171W
4932.YFL021W	4932.YKL062W
4932.YDR418W	4932.YPR102C
4932.YLL003W	4932.YML085C
4932.YDL029W	4932.YOR101W
4932.YMR288W	4932.YPR182W
4932.YKR055W	4932.YMR116C
4932.YGL145W	4932.YKL196C
4932.YDR436W	4932.YFR014C
4932.YIL021W	4932.YML095C
4932.YBR082C	4932.YDL056W
4932.YKR059W	4932.YPL184C
4932.YBL038W	4932.YGL031C
4932.YBL088C	4932.YML095C
4932.YKL079W	4932.YOR141C
4932.YAL040C	4932.YLR397C
4932.YDR026C	4932.YHR064C
4932.YBR198C	4932.YLR277C
4932.YBL007C	4932.YCR088W
4932.YBR208C	4932.YCL024W
4932.YDR247W	4932.YML081W
4932.YGL163C	4932.YJR065C
4932.YGR047C	4932.YNL039W
4932.YDR041W	4932.YLR344W
4932.YBR089C-A	4932.YPL038W
4932.YBR154C	4932.YCR084C
4932.YDL075W	4932.YLR287C-A
4932.YJR045C	4932.YOR081C
4932.YBL040C	4932.YBR017C
4932.YKL010C	4932.YOR353C
4932.YBL063W	4932.YPR015C
4932.YDR118W	4932.YPR119W
4932.YFR031C-A	4932.YLL045C
4932.YDL188C	4932.YER099C
4932.YFL008W	4932.YPR007C
4932.YGR003W	4932.YJL112W
4932.YBR268W	4932.YDR405W
4932.YBR234C	4932.YKL193C
4932.YBR084C-A	4932.YLR048W
4932.YGL163C	4932.YOR244W
4932.YJL221C	4932.YNL270C
4932.YJL136C	4932.YKR084C
4932.YJR065C	4932.YPL089C
4932.YER081W	4932.YOR113W
4932.YKL101W	4932.YMR109W
4932.YGR220C	4932.YHR141C
4932.YPL154C	4932.YPR022C
4932.YHR148W	4932.YHR203C
4932.YGR052W	4932.YGR296W
4932.YCL059C	4932.YPL204W
4932.YIL121W	4932.YIL137C
4932.YDL132W	4932.YOR224C
4932.YBR283C	4932.YMR035W
4932.YER093C	4932.YHR099W
4932.YHR119W	4932.YMR182C
4932.YCR042C	4932.YER148W
4932.YCL043C	4932.YDR518W
4932.YEL037C	4932.YMR182C
4932.YKL168C	4932.YOL094C
4932.YOL145C	4932.YPL153C
4932.YHR129C	4932.YMR182C
4932.YDR378C	4932.YEL026W
4932.YAL024C	4932.YML081W
4932.YER056C-A	4932.YPL090C
4932.YDR473C	4932.YHR156C
4932.YLL067C	4932.YNL209W
4932.YER062C	4932.YIL005W
4932.YLL024C	4932.YPL026C
4932.YDL061C	4932.YGR027C
4932.YNL021W	4932.YNR012W
4932.YDL192W	4932.YML081W
4932.YLR240W	4932.YNL093W
4932.YJL047C	4932.YOR007C
4932.YLR318W	4932.YNL307C
4932.YJR059W	4932.YMR290C
4932.YBL021C	4932.YNL307C
4932.YGR118W	4932.YPL143W
4932.YGL129C	4932.YGR034W
4932.YDL064W	4932.YPL230W
4932.YEL026W	4932.YLR448W
4932.YDL134C	4932.YJL014W
4932.YDL114W	4932.YKL126W
4932.YJL056C	4932.YMR068W
4932.YDR060W	4932.YJL138C
4932.YKR094C	4932.YOR217W
4932.YIR039C	4932.YPL026C
4932.YDL143W	4932.YGR052W
4932.YHR030C	4932.YPL239W
4932.YHR119W	4932.YOR290C
4932.YBL079W	4932.YIL149C
4932.YGR052W	4932.YKL073W
4932.YDL025C	4932.YKL198C
4932.YIL113W	4932.YNL098C
4932.YDR177W	4932.YJL056C
4932.YDR482C	4932.YNL175C
4932.YKL180W	4932.YLR179C
4932.YDL008W	4932.YOR339C
4932.YPL079W	4932.YPR132W
4932.YOR213C	4932.YPL216W
4932.YDR148C	4932.YNR001C
4932.YBL103C	4932.YFR021W
4932.YCR060W	4932.YOR249C
4932.YBL005W-A	4932.YGR161C-C
4932.YLR229C	4932.YOR233W
4932.YMR146C	4932.YMR230W
4932.YER130C	4932.YPL150W
4932.YDR043C	4932.YGR056W
4932.YEL009C	4932.YFR034C
4932.YLL067C	4932.YPL031C
4932.YAL017W	4932.YNL128W
4932.YBL027W	4932.YMR194W
4932.YBR181C	4932.YDL136W
4932.YGL030W	4932.YPL090C
4932.YDR378C	4932.YHL033C
4932.YDR386W	4932.YER179W
4932.YDR481C	4932.YLL024C
4932.YER171W	4932.YOR217W
4932.YAL021C	4932.YHR079C
4932.YGR162W	4932.YMR104C
4932.YJL102W	4932.YLR143W
4932.YHR164C	4932.YLR419W
4932.YHR218W-A	4932.YMR125W
4932.YBR251W	4932.YNL137C
4932.YJL047C	4932.YJL056C
4932.YFL021W	4932.YOR384W
4932.YEL032W	4932.YGR233C
4932.YBR006W	4932.YJR045C
4932.YDR041W	4932.YLR178C
4932.YDR404C	4932.YJL140W
4932.YDR264C	4932.YLR131C
4932.YAR007C	4932.YER179W
4932.YAL035W	4932.YNL069C
4932.YAL047C	4932.YLR179C
4932.YHR203C	4932.YLR388W
4932.YIL091C	4932.YOR096W
4932.YER166W	4932.YGL091C
4932.YKL161C	4932.YLR240W
4932.YOR320C	4932.YPL175W
4932.YGR232W	4932.YPR013C
4932.YJL036W	4932.YLR240W
4932.YDL048C	4932.YLL048C
4932.YDR332W	4932.YJL140W
4932.YGL128C	4932.YJL034W
4932.YDR139C	4932.YPL003W
4932.YIL148W	4932.YLR048W
4932.YKL062W	4932.YMR199W
4932.YDR416W	4932.YOR159C
4932.YLR061W	4932.YML063W
4932.YDL132W	4932.YGR252W
4932.YDR429C	4932.YFR004W
4932.YDR177W	4932.YMR182C
4932.YBR066C	4932.YER111C
4932.YAL005C	4932.YJR147W
4932.YHR141C	4932.YLR061W
4932.YER031C	4932.YJL005W
4932.YBL052C	4932.YNL021W
4932.YJL033W	4932.YMR143W
4932.YDR121W	4932.YOR304W
4932.YDL025C	4932.YKL161C
4932.YJL136C	4932.YNL302C
4932.YGL123W	4932.YIL052C
4932.YDL074C	4932.YJL076W
4932.YFL037W	4932.YML058W
4932.YGR123C	4932.YLR238W
4932.YJL034W	4932.YOR341W
4932.YAL032C	4932.YPR204W
4932.YHR048W	4932.YMR043W
4932.YBL038W	4932.YPR080W
4932.YML058W	4932.YNL172W
4932.YLL036C	4932.YMR240C
4932.YDR247W	4932.YMR104C
4932.YBR087W	4932.YLR240W
4932.YLR113W	4932.YPR048W
4932.YBL016W	4932.YKL193C
4932.YLR422W	4932.YPL141C
4932.YBR130C	4932.YKL130C
4932.YGL147C	4932.YGR148C
4932.YER013W	4932.YGR072W
4932.YJR059W	4932.YKL032C
4932.YPL031C	4932.YPL203W
4932.YFR015C	4932.YNL053W
4932.YER176W	4932.YMR201C
4932.YOL127W	4932.YOR234C
4932.YDL213C	4932.YMR216C
4932.YOL018C	4932.YOR075W
4932.Q0250	4932.YMR257C
4932.YOL040C	4932.YOR369C
4932.YCL024W	4932.YKL124W
4932.YBR087W	4932.YIR008C
4932.YGL209W	4932.YKL161C
4932.YAL024C	4932.YDR096W
4932.YGR108W	4932.YMR182C
4932.YER089C	4932.YKR017C
4932.YDR238C	4932.YOR233W
4932.YHR082C	4932.YPL230W
4932.YDR238C	4932.YDR247W
4932.YER028C	4932.YFL021W
4932.YIL061C	4932.YLL036C
4932.YDR545W	4932.YLR419W
4932.YDR190C	4932.YJR066W
4932.YBL087C	4932.YDR139C
4932.YDR510W	4932.YPL216W
4932.YJR026W	4932.YPL257W-A
4932.YGR232W	4932.YJL056C
4932.YDL190C	4932.YDR092W
4932.YLR119W	4932.YPL002C
4932.YGL163C	4932.YPL216W
4932.YOL081W	4932.YOR141C
4932.YBR118W	4932.YLR333C
4932.YBR208C	4932.YLR351C
4932.YDR293C	4932.YOL142W
4932.YFL008W	4932.YGR188C
4932.YCR027C	4932.YNR060W
4932.YJR068W	4932.YOL094C
4932.YLR264W	4932.YOR234C
4932.YGR056W	4932.YML114C
4932.YDR377W	4932.YJR121W
4932.YOL111C	4932.YOR312C
4932.YFR014C	4932.YKL190W
4932.YDL104C	4932.YKR038C
4932.YDR208W	4932.YLR229C
4932.YBL003C	4932.YBL099W
4932.YML124C	4932.YOR349W
4932.YBR044C	4932.YOL055C
4932.YJR113C	4932.YOL023W
4932.YER054C	4932.YHR082C
4932.YDR498C	4932.YKL006C-A
4932.YLL008W	4932.YOL121C
4932.YIL118W	4932.YPR022C
4932.YKL209C	4932.YLL055W
4932.YEL009C	4932.YNL304W
4932.YGL013C	4932.YHR064C
4932.YJL102W	4932.YLL036C
4932.YKR094C	4932.YPL022W
4932.YJL056C	4932.YNL217W
4932.YDL056W	4932.YKR008W
4932.YBL105C	4932.YMR149W
4932.YBR251W	4932.YDL075W
4932.YDL216C	4932.YDR030C
4932.YER031C	4932.YJR031C
4932.YER029C	4932.YLR438C-A
4932.YBR195C	4932.YLR357W
4932.YER164W	4932.YML081W
4932.YHR218W-A	4932.YNL139C
4932.YKL190W	4932.YNL128W
4932.YGR083C	4932.YOR260W
4932.YBR073W	4932.YBR160W
4932.YMR158W	4932.YOR182C
4932.Q0130	4932.YBL099W
4932.YAL030W	4932.YMR017W
4932.YHR050W	4932.YMR037C
4932.YER133W	4932.YPL137C
4932.YBR169C	4932.YPL031C
4932.YER103W	4932.YJL045W
4932.YGR220C	4932.YPL143W
4932.YDL246C	4932.YMR315W
4932.YDR045C	4932.YPR015C
4932.YPL026C	4932.YPL038W
4932.YER126C	4932.YJR123W
4932.YHR207C	4932.YMR176W
4932.YJR093C	4932.YOR098C
4932.YDL137W	4932.YOR089C
4932.YJR036C	4932.YMR199W
4932.YKL173W	4932.YLR340W
4932.YDL048C	4932.YFL039C
4932.YML064C	4932.YOR353C
4932.YDL075W	4932.YIL148W
4932.YOR353C	4932.YOR381W
4932.YDR264C	4932.YOR007C
4932.YER031C	4932.YGR032W
4932.YGL025C	4932.YOL051W
4932.YFR031C	4932.YNL088W
4932.YIL061C	4932.YML117W
4932.YFR002W	4932.YMR308C
4932.YGL190C	4932.YOR373W
4932.YER126C	4932.YKR094C
4932.YOR063W	4932.YPL079W
4932.YCR065W	4932.YGR232W
4932.YCR008W	4932.YHR082C
4932.YBR066C	4932.YGR233C
4932.YMR201C	4932.YMR276W
4932.YGR261C	4932.YKL079W
4932.YEL037C	4932.YIL156W
4932.YBR081C	4932.YDR092W
4932.YBL027W	4932.YML024W
4932.YDR096W	4932.YPR034W
4932.YBR175W	4932.YPR165W
4932.YBL003C	4932.YJL168C
4932.YBL003C	4932.YDL042C
4932.YNL180C	4932.YOR034C
4932.YLL024C	4932.YOR160W
4932.YBR146W	4932.YLR048W
4932.YBL038W	4932.YMR276W
4932.YBR066C	4932.YLL015W
4932.YCR008W	4932.YNR032W
4932.YHR148W	4932.YJR113C
4932.YCR005C	4932.YOL126C
4932.YAL062W	4932.YDL215C
4932.YGL210W	4932.YMR182C
4932.YHR047C	4932.YLL004W
4932.YMR230W	4932.YPL131W
4932.YGL076C	4932.YLL039C
4932.YGR140W	4932.YPL268W
4932.YGR133W	4932.YKR094C
4932.YBR088C	4932.YJR063W
4932.YGR085C	4932.YMR142C
4932.YGL181W	4932.YPR165W
4932.YDL042C	4932.YNL330C
4932.YDL091C	4932.YLR397C
4932.YGL143C	4932.YLR281C
4932.YBL023C	4932.YGL179C
4932.YBR136W	4932.YKL161C
4932.YCR027C	4932.YEL061C
4932.YBR082C	4932.YPL213W
4932.YDL113C	4932.YNR012W
4932.YBR160W	4932.YHR027C
4932.YGL242C	4932.YNL250W
4932.YLR426W	4932.YMR083W
4932.YIL133C	4932.YOR167C
4932.YHL007C	4932.YOR141C
4932.YEL061C	4932.YNL153C
4932.YJL190C	4932.YKR094C
4932.YBL016W	4932.YGR133W
4932.YCR065W	4932.YNL021W
4932.YBR187W	4932.YDR381W
4932.YNL245C	4932.YPL184C
4932.YDL137W	4932.YMR139W
4932.YFL039C	4932.YGL163C
4932.YKR034W	4932.YPR022C
4932.YGL029W	4932.YOR063W
4932.YJL076W	4932.YMR043W
4932.YIL018W	4932.YPL081W
4932.YBL003C	4932.YBL097W
4932.YDR099W	4932.YHR079C
4932.YHR079C	4932.YOR211C
4932.YIL177C	4932.YMR213W
4932.YLL039C	4932.YPR173C
4932.YCR019W	4932.YDL124W
4932.YGL189C	4932.YJL138C
4932.YFR052W	4932.YGR040W
4932.YLL066C	4932.YPL141C
4932.YDL056W	4932.YDR217C
4932.YCR060W	4932.YHR084W
4932.YGL078C	4932.YNL139C
4932.YDL132W	4932.YKL198C
4932.YBL101C	4932.YLR043C
4932.YDR146C	4932.YMR104C
4932.YGR056W	4932.YMR267W
4932.YCR014C	4932.YMR106C
4932.YIL036W	4932.YPR013C
4932.YCR031C	4932.YPL178W
4932.YKL221W	4932.YMR043W
4932.YHR064C	4932.YLR216C
4932.YLR167W	4932.YNL027W
4932.YDL061C	4932.YDR115W
4932.YLL045C	4932.YPR182W
4932.YBR143C	4932.YLR185W
4932.YBL035C	4932.YPR175W
4932.YBR276C	4932.YER045C
4932.YBL026W	4932.YOR308C
4932.YHR129C	4932.YOR090C
4932.YDR194C	4932.YHR079C
4932.YER020W	4932.YLR131C
4932.YGL135W	4932.YOR167C
4932.YDL042C	4932.YIL036W
4932.YDR447C	4932.YMR188C
4932.YJR059W	4932.YKL135C
4932.YDR292C	4932.YJL189W
4932.YDR253C	4932.YGL194C
4932.YBR212W	4932.YMR240C
4932.YHL015W	4932.YMR208W
4932.YDR060W	4932.YKR059W
4932.YGL035C	4932.YPR034W
4932.YDR085C	4932.YER133W
4932.YDR499W	4932.YJR096W
4932.YER028C	4932.YLR167W
4932.YDR025W	4932.YGR085C
4932.YJR058C	4932.YNL090W
4932.YOL127W	4932.YOR198C
4932.YDR099W	4932.YDR457W
4932.YGL068W	4932.YNR036C
4932.YGR281W	4932.YML059C
4932.YCR065W	4932.YHR048W
4932.YDR155C	4932.YPL122C
4932.YHL007C	4932.YNL053W
4932.YBR088C	4932.YOR288C
4932.YLR383W	4932.YOL069W
4932.YDL192W	4932.YHR079C
4932.YDR385W	4932.YJR032W
4932.YDL140C	4932.YMR233W
4932.YJL005W	4932.YJR066W
4932.YBL087C	4932.YBR189W
4932.YDR092W	4932.YPR120C
4932.YER075C	4932.YOR208W
4932.YHR119W	4932.YKL010C
4932.YBL016W	4932.YHR079C
4932.YLR178C	4932.YMR143W
4932.YBR181C	4932.YHL033C
4932.YBR089C-A	4932.YDL079C
4932.YDR059C	4932.YOR124C
4932.YNL069C	4932.YNL302C
4932.YEL056W	4932.YHR084W
4932.YGR249W	4932.YNL209W
4932.YAL017W	4932.YOR353C
4932.YGL116W	4932.YIL113W
4932.YDR264C	4932.YOR212W
4932.YMR304W	4932.YOL111C
4932.YGL098W	4932.YLR397C
4932.YBR028C	4932.YKL145W
4932.YLR388W	4932.YMR080C
4932.YJL024C	4932.YNL090W
4932.YGL135W	4932.YOL120C
4932.YDR469W	4932.YER169W
4932.YBR082C	4932.YJR042W
4932.YML001W	4932.YPR054W
4932.YGL189C	4932.YKR059W
4932.YJR040W	4932.YPL141C
4932.YDL082W	4932.YML025C
4932.YHR148W	4932.YKL156W
4932.YFR030W	4932.YPL111W
4932.YOL120C	4932.YOR234C
4932.YMR233W	4932.YOR113W
4932.YIL118W	4932.YNL293W
4932.YCR065W	4932.YDR054C
4932.YHR064C	4932.YOR232W
4932.YBR154C	4932.YIL143C
4932.YHR147C	4932.YJL033W
4932.YBR084C-A	4932.YJL177W
4932.YER172C	4932.YHR023W
4932.YBL087C	4932.YLR340W
4932.YDL102W	4932.YIL003W
4932.YBL105C	4932.YDR168W
4932.YAL005C	4932.YOL068C
4932.YDR026C	4932.YNL317W
4932.YDL083C	4932.YKL173W
4932.YBL072C	4932.YEL050C
4932.YIL113W	4932.YNR032W
4932.YDL079C	4932.YDR490C
4932.YLR262C	4932.YLR335W
4932.YLL067C	4932.YLR077W
4932.YBL038W	4932.YDL208W
4932.YDR490C	4932.YMR186W
4932.YDR212W	4932.YER091C
4932.YBL075C	4932.YDL137W
4932.YGR109C	4932.YNL172W
4932.YDL047W	4932.YPL140C
4932.YCR079W	4932.YOR353C
4932.YKL041W	4932.YMR276W
4932.YGR034W	4932.YPR204W
4932.Q0130	4932.YNL052W
4932.YDL083C	4932.YHR021C
4932.YNL284C	4932.YOR293W
4932.YFR023W	4932.YLL066C
4932.YHR193C	4932.YPL165C
4932.YIL148W	4932.YLR167W
4932.YDR139C	4932.YML073C
4932.YDR224C	4932.YKL105C
4932.YBR084W	4932.YKR080W
4932.YBR111C	4932.YGR296W
4932.YJR009C	4932.YKL126W
4932.YDL108W	4932.YLR005W
4932.YIL103W	4932.YLR043C
4932.YCL011C	4932.YPL184C
4932.YDL064W	4932.YML088W
4932.YBR084C-A	4932.YLR009W
4932.YER157W	4932.YHL031C
4932.YDR041W	4932.YDR471W
4932.YDL127W	4932.YMR199W
4932.YDL188C	4932.YGR241C
4932.YKL212W	4932.YOR233W
4932.YDL048C	4932.YNL098C
4932.YIL148W	4932.YPL249C-A
4932.YDR115W	4932.YNL069C
4932.YJR066W	4932.YPR165W
4932.YML064C	4932.YMR186W
4932.YDR247W	4932.YLR422W
4932.YBL069W	4932.YOR374W
4932.YBR028C	4932.YML117W
4932.YML085C	4932.YOR265W
4932.YBL002W	4932.YGR270W
4932.YLR182W	4932.YPL256C
4932.YDL213C	4932.YGL078C
4932.YDR216W	4932.YOR141C
4932.YKL073W	4932.YLL067C
4932.YDR225W	4932.YFL024C
4932.YDR471W	4932.YMR242C
4932.YLR406C	4932.YOL120C
4932.YOL127W	4932.YPL079W
4932.YLR270W	4932.YOR173W
4932.YHR084W	4932.YKR059W
4932.YLR367W	4932.YMR188C
4932.YBR065C	4932.YPR101W
4932.YGL241W	4932.YMR152W
4932.YCR065W	4932.YPR186C
4932.YKR057W	4932.YLR448W
4932.YIL036W	4932.YLR205C
4932.YDR296W	4932.YNL252C
4932.YDL192W	4932.YHR082C
4932.YDL198C	4932.YKL190W
4932.YJR066W	4932.YMR284W
4932.YBR028C	4932.YHR042W
4932.YJL190C	4932.YKR057W
4932.YDL145C	4932.YKL135C
4932.YPL078C	4932.YPL271W
4932.YDL076C	4932.YKR029C
4932.YHR146W	4932.YJR040W
4932.YGR056W	4932.YHR030C
4932.YJL047C	4932.YKL198C
4932.YDL056W	4932.YIL046W
4932.YGR155W	4932.YIL118W
4932.YJL111W	4932.YJR045C
4932.YNL112W	4932.YPL119C
4932.YGR155W	4932.YOR110W
4932.YLR167W	4932.YLR417W
4932.YDR129C	4932.YIL138C
4932.YBR119W	4932.YPR152C
4932.YGL137W	4932.YKL135C
4932.YFL008W	4932.YOL069W
4932.YDR086C	4932.YDR237W
4932.YOR312C	4932.YPR102C
4932.YJL140W	4932.YMR288W
4932.YKR048C	4932.YLR133W
4932.YHR205W	4932.YIL113W
4932.YJR059W	4932.YNL180C
4932.YLR262C	4932.YOR370C
4932.YGR085C	4932.YLR448W
4932.YBR028C	4932.YNL108C
4932.YDR139C	4932.YJL112W
4932.YLR115W	4932.YOR207C
4932.YMR032W	4932.YPL158C
4932.YBR274W	4932.YNL312W
4932.YDL056W	4932.YDR523C
4932.YGR233C	4932.YJL110C
4932.YBR082C	4932.YOR144C
4932.YJR101W	4932.YOR204W
4932.YCR027C	4932.YLR371W
4932.YCR060W	4932.YGL213C
4932.YDL084W	4932.YLR151C
4932.YCR071C	4932.YML009C
4932.YLR287C-A	4932.YPL081W
4932.YBR028C	4932.YMR042W
4932.YCR008W	4932.YDL101C
4932.YGL206C	4932.YKR001C
4932.YIL125W	4932.YNL071W
4932.YLR399C	4932.YPR048W
4932.YLR044C	4932.YOR316C
4932.YBR066C	4932.YMR161W
4932.YGL127C	4932.YLR071C
4932.YDR177W	4932.YKR029C
4932.YDL084W	4932.YML065W
4932.YGR109C	4932.YHR216W
4932.YKL010C	4932.YOL128C
4932.YDL079C	4932.YNL053W
4932.YBL023C	4932.YMR048W
4932.YER146W	4932.YPL064C
4932.YGL189C	4932.YOL111C
4932.YDR235W	4932.YPR133C
4932.YDR247W	4932.YPR022C
4932.YDR392W	4932.YGL071W
4932.YGR218W	4932.YPR013C
4932.YBR136W	4932.YOR063W
4932.YER110C	4932.YPR174C
4932.YFL016C	4932.YHR206W
4932.YDR004W	4932.YOR033C
4932.YCR027C	4932.YDR099W
4932.YBR155W	4932.YHR064C
4932.YML064C	4932.YPR095C
4932.YDL202W	4932.YNL069C
4932.YHR010W	4932.YJL177W
4932.YDR427W	4932.YGR109C
4932.YNR011C	4932.YPL064C
4932.YJR065C	4932.YOR122C
4932.YER028C	4932.YJL110C
4932.YNR016C	4932.YPL281C
4932.YDL140C	4932.YPL042C
4932.YAL035W	4932.YDR447C
4932.YDL134C	4932.YLR449W
4932.YDR139C	4932.YPL198W
4932.YEL026W	4932.YMR276W
4932.YDR416W	4932.YOR353C
4932.YML093W	4932.YMR093W
4932.YDR471W	4932.YNR036C
4932.YML085C	4932.YOR269W
4932.YER031C	4932.YLR166C
4932.YJL070C	4932.YML035C
4932.YJR065C	4932.YNR023W
4932.YHL015W	4932.YMR260C
4932.YGR118W	4932.YLR287C-A
4932.YBL056W	4932.YPL203W
4932.YLR375W	4932.YOL128C
4932.YDR096W	4932.YNL180C
4932.YDL048C	4932.YFR038W
4932.YBR088C	4932.YKL168C
4932.YDL030W	4932.YER146W
4932.YOL004W	4932.YPL230W
4932.YGR040W	4932.YMR136W
4932.YDR416W	4932.YNL312W
4932.YKL166C	4932.YKL171W
4932.YAL017W	4932.YGL232W
4932.YGL031C	4932.YML063W
4932.YMR276W	4932.YNL307C
4932.YCR042C	4932.YLR357W
4932.YLR069C	4932.YPR166C
4932.YIL061C	4932.YPL150W
4932.YIL109C	4932.YOR115C
4932.YDR172W	4932.YHR077C
4932.YKL062W	4932.YPR165W
4932.YDR385W	4932.YOR150W
4932.YDL070W	4932.YDR146C
4932.YNL307C	4932.YPR200C
4932.YLR069C	4932.YMR158W
4932.YGR095C	4932.YGR220C
4932.YDR386W	4932.YER164W
4932.YER176W	4932.YLL039C
4932.YGR085C	4932.YLR009W
4932.YFR038W	4932.YKL062W
4932.YBR136W	4932.YER122C
4932.YHR015W	4932.YPR080W
4932.YDR086C	4932.YGR034W
4932.YJR147W	4932.YMR186W
4932.YDL213C	4932.YIR009W
4932.YLR441C	4932.YOR361C
4932.YHL004W	4932.YOR076C
4932.YGL031C	4932.YNL137C
4932.YML065W	4932.YMR037C
4932.YOL142W	4932.YPL198W
4932.YKL168C	4932.YOR033C
4932.YKL193C	4932.YOR090C
4932.YNL307C	4932.YPR034W
4932.YGL207W	4932.YPR052C
4932.YDR404C	4932.YMR236W
4932.YIL131C	4932.YNL030W
4932.YDR116C	4932.YML073C
4932.YDR518W	4932.YNL163C
4932.YFL029C	4932.YOR269W
4932.YBR289W	4932.YML081W
4932.YBL016W	4932.YOR140W
4932.YGR152C	4932.YOR109W
4932.YGR054W	4932.YOR261C
4932.YKL078W	4932.YLL036C
4932.YPL256C	4932.YPR108W
4932.YER111C	4932.YGR152C
4932.YDL075W	4932.YMR194W
4932.YJL102W	4932.YLR147C
4932.YNL201C	4932.YOR178C
4932.YBR044C	4932.YOR346W
4932.YIR004W	4932.YJR064W
4932.YLR106C	4932.YMR131C
4932.YHL004W	4932.YKL009W
4932.YLL028W	4932.YLR305C
4932.YLR383W	4932.YNL209W
4932.YIL131C	4932.YPL042C
4932.YDL003W	4932.YHR099W
4932.YLR441C	4932.YNL081C
4932.YBR049C	4932.YLR210W
4932.YJL033W	4932.YPL141C
4932.YCR031C	4932.YDR041W
4932.YGL104C	4932.YKR008W
4932.YDL075W	4932.YLL008W
4932.YNL180C	4932.YPR111W
4932.YFL005W	4932.YPR165W
4932.YHL004W	4932.YLR441C
4932.YBL075C	4932.YNL020C
4932.YBR175W	4932.YPR068C
4932.YKL062W	4932.YMR072W
4932.YDR115W	4932.YIL133C
4932.YBR106W	4932.YDR245W
4932.YJL191W	4932.YPL183W-A
4932.YKL180W	4932.YLR075W
4932.YFR004W	4932.YFR010W
4932.YGR214W	4932.YHR010W
4932.YDR216W	4932.YGL242C
4932.YLR026C	4932.YMR197C
4932.YEL054C	4932.YMR143W
4932.YHR124W	4932.YMR001C
4932.YEL009C	4932.YFL029C
4932.YDL202W	4932.YFR031C-A
4932.YDR041W	4932.YHR141C
4932.YDL134C	4932.YHR076W
4932.YER126C	4932.YHR141C
4932.YGL163C	4932.YPR186C
4932.YDR129C	4932.YFR028C
4932.YBR182C	4932.YIL036W
4932.YBR245C	4932.YGR044C
