item_id_a	item_id_b	mode	action	is_directional	a_is_acting	score
4932.YDL202W	4932.YGL076C	catalysis		t	t	226
4932.YNL185C	4932.YOR187W	reaction		t	f	422
4932.YNL185C	4932.YOR187W	binding		f	t	422
4932.YNL185C	4932.YOR187W	catalysis		t	f	422
4932.YDL093W	4932.YDR307W	binding		f	t	540
4932.YOR369C	4932.YPR080W	catalysis		t	f	205
4932.YOR369C	4932.YPR080W	binding		f	t	404
4932.YOR369C	4932.YPR080W	reaction		t	f	404
4932.YFL033C	4932.YGL059W	activation	activation	f	f	227
4932.YFL033C	4932.YGL059W	binding		f	f	221
4932.YFL033C	4932.YGL059W	expression		t	t	181
4932.YFL033C	4932.YGL059W	ptmod		f	f	227
4932.YLR268W	4932.YOR089C	catalysis		t	f	187
4932.YLR268W	4932.YOR089C	binding		f	t	210
4932.YLR268W	4932.YOR089C	reaction		t	f	210
4932.YDR477W	4932.YJR059W	binding		f	t	214
4932.YDR477W	4932.YJR059W	activation	activation	f	f	214
4932.YDR477W	4932.YJR059W	reaction		t	t	199
4932.YDR477W	4932.YJR059W	ptmod		f	f	214
4932.YDR477W	4932.YJR059W	catalysis		t	f	214
4932.YOR353C	4932.YPL239W	activation	activation	f	f	173
4932.YOR353C	4932.YPL239W	expression		t	f	153
4932.YOR353C	4932.YPL239W	binding		f	t	173
4932.YOR353C	4932.YPL239W	catalysis		t	f	173
4932.YOR353C	4932.YPL239W	reaction		t	t	173
4932.YOR353C	4932.YPL239W	ptmod		t	t	173
4932.YJR028W	4932.YPR137C-A	binding		f	t	433
4932.YJR145C	4932.YNL137C	reaction		t	t	286
4932.YJR145C	4932.YNL137C	catalysis		t	t	286
4932.YJR145C	4932.YNL137C	binding		f	t	286
4932.YNL204C	4932.YOL065C	reaction		t	t	158
4932.YNL204C	4932.YOL065C	binding		f	t	158
4932.YNL204C	4932.YOL065C	catalysis		t	f	158
4932.YLL067C	4932.YPL031C	binding		f	f	179
4932.YNL102W	4932.YOR005C	binding		f	f	290
4932.YNL102W	4932.YOR005C	catalysis		t	t	290
4932.YNL102W	4932.YOR005C	reaction		t	t	269
4932.YER009W	4932.YOR185C	reaction		t	t	524
4932.YER009W	4932.YOR185C	binding		f	f	789
4932.Q0160	4932.YLR378C	binding		f	f	416
4932.YIL069C	4932.YLR048W	reaction		t	t	570
4932.YIL069C	4932.YLR048W	catalysis		t	f	570
4932.YIL069C	4932.YLR048W	binding		f	f	570
4932.YGR044C	4932.YJL110C	expression		t	f	183
4932.YGR044C	4932.YJL110C	binding		f	f	188
4932.YGR044C	4932.YJL110C	activation	activation	t	f	171
4932.YGR044C	4932.YJL110C	reaction		t	f	185
4932.YPL204W	4932.YPL240C	reaction		t	f	156
4932.YPL204W	4932.YPL240C	binding		f	f	156
4932.YPL204W	4932.YPL240C	catalysis		t	t	156
4932.YBR191W	4932.YDR450W	reaction		f	f	570
4932.YBR191W	4932.YDR450W	catalysis		t	t	570
4932.YBR191W	4932.YDR450W	binding		f	t	570
4932.YBR065C	4932.YCR063W	reaction		f	f	787
4932.YBR065C	4932.YCR063W	catalysis		t	t	787
4932.YBR065C	4932.YCR063W	binding		f	t	787
4932.YHR205W	4932.YJR101W	activation	activation	t	t	188
4932.YHR205W	4932.YJR101W	expression		t	t	183
4932.YER165W	4932.YNL069C	catalysis		t	t	909
4932.YER165W	4932.YNL069C	binding		f	t	909
4932.YER165W	4932.YNL069C	reaction		t	t	909
4932.YML117W	4932.YPL178W	binding		f	t	685
4932.YGR252W	4932.YNR023W	reaction		t	f	190
4932.YGR252W	4932.YNR023W	binding		f	f	478
4932.YGL219C	4932.YLL001W	activation	activation	f	f	800
4932.YDL155W	4932.YMR001C	ptmod		f	f	598
4932.YDL155W	4932.YMR001C	activation	activation	f	f	598
4932.YDL155W	4932.YMR001C	catalysis		t	t	595
4932.YDL155W	4932.YMR001C	binding		f	t	194
4932.YDR226W	4932.YER078C	binding		f	f	287
4932.YBR136W	4932.YMR080C	binding		f	f	152
4932.YBR136W	4932.YMR080C	activation	activation	f	f	152
4932.YBR136W	4932.YMR080C	reaction		t	f	152
4932.YBR136W	4932.YMR080C	catalysis		t	t	152
4932.YBR136W	4932.YMR080C	ptmod		f	f	152
4932.YDR098C	4932.YER062C	binding		f	f	175
4932.YLR029C	4932.YOR293W	binding		f	t	570
4932.YLR029C	4932.YOR293W	reaction		f	f	570
4932.YLR029C	4932.YOR293W	catalysis		t	f	570
4932.YDR388W	4932.YPL022W	binding		f	f	279
4932.YGL190C	4932.YNL157W	binding		f	t	213
4932.YER066W	4932.YJL047C	reaction		t	t	446
4932.YER066W	4932.YJL047C	catalysis		t	f	446
4932.YER066W	4932.YJL047C	binding		f	f	446
4932.YBR079C	4932.YHR086W	reaction		f	f	303
4932.YBR079C	4932.YHR086W	binding		f	t	303
4932.YIR009W	4932.YLL036C	catalysis		t	f	779
4932.YIR009W	4932.YLL036C	binding		f	t	967
4932.YIR009W	4932.YLL036C	reaction		t	f	779
4932.YNL067W	4932.YNL185C	catalysis		t	t	267
4932.YNL067W	4932.YNL185C	binding		f	t	262
4932.YNL067W	4932.YNL185C	reaction		t	t	267
4932.YDR210C-C	4932.YGR161W-A	binding		f	t	416
4932.YBL027W	4932.YEL037C	reaction		t	f	226
4932.YBL027W	4932.YEL037C	binding		f	t	226
4932.YBL027W	4932.YEL037C	catalysis		t	f	226
4932.YBR084C-A	4932.YGL123W	reaction		t	t	961
4932.YBR084C-A	4932.YGL123W	catalysis		t	f	961
4932.YBR084C-A	4932.YGL123W	binding		f	f	961
4932.YFL021W	4932.YMR182C	reaction		f	f	185
4932.YFL021W	4932.YMR182C	expression		t	t	183
4932.YFL021W	4932.YMR182C	activation	activation	t	t	171
4932.YFL021W	4932.YMR182C	binding		f	f	188
4932.YJR094W-A	4932.YOL040C	reaction		t	t	635
4932.YJR094W-A	4932.YOL040C	catalysis		t	t	635
4932.YJR094W-A	4932.YOL040C	binding		f	t	635
4932.YCR028C-A	4932.YGL207W	binding		f	f	194
4932.YDR253C	4932.YKL203C	binding		f	t	185
4932.YDR253C	4932.YKL203C	activation	activation	t	f	181
4932.YDR253C	4932.YKL203C	expression	inhibition	t	f	156
4932.YDR253C	4932.YKL203C	ptmod		t	f	169
4932.YNL097C	4932.YPL139C	binding		f	f	900
4932.YFR023W	4932.YGL048C	reaction		f	f	187
4932.YFR023W	4932.YGL048C	binding		f	t	187
4932.YHL007C	4932.YJL128C	ptmod		f	f	345
4932.YHL007C	4932.YJL128C	activation	activation	f	f	345
4932.YER074W	4932.YER117W	catalysis		t	f	573
4932.YER074W	4932.YER117W	binding		f	t	573
4932.YER074W	4932.YER117W	reaction		t	f	573
4932.YGL103W	4932.YPL012W	binding		f	t	772
4932.YDR510W	4932.YPL216W	activation	activation	t	f	187
4932.YBR118W	4932.YKL056C	binding		f	f	187
4932.YBR060C	4932.YDR174W	binding		f	f	287
4932.YEL037C	4932.YKL210W	catalysis		t	t	188
4932.YEL037C	4932.YKL210W	binding		f	f	190
4932.YEL037C	4932.YKL210W	reaction		t	t	190
4932.YBR081C	4932.YML015C	reaction		t	t	266
4932.YBR081C	4932.YML015C	binding		f	t	898
4932.YKL062W	4932.YLR182W	binding		f	t	181
4932.YKL062W	4932.YLR182W	activation	activation	t	t	163
4932.YKL062W	4932.YLR182W	reaction		t	f	163
4932.YKL062W	4932.YLR182W	expression	inhibition	t	t	165
4932.YKL062W	4932.YLR182W	catalysis		t	f	187
4932.YKL062W	4932.YLR182W	inhibition	inhibition	t	t	163
4932.YGR152C	4932.YLR113W	reaction		t	t	240
4932.YGR152C	4932.YLR113W	catalysis		t	f	240
4932.YGR152C	4932.YLR113W	activation	activation	t	f	183
4932.YGR152C	4932.YLR113W	binding		f	t	240
4932.YGR152C	4932.YLR113W	ptmod		t	t	156
4932.YGR152C	4932.YLR113W	inhibition	inhibition	f	t	227
4932.YFL029C	4932.YLR240W	binding		f	f	169
4932.YFL029C	4932.YLR240W	activation	activation	t	t	187
4932.YFL029C	4932.YLR240W	ptmod		t	t	187
4932.YFL029C	4932.YLR240W	catalysis		t	f	197
4932.YDL079C	4932.YOR386W	activation	activation	f	f	185
4932.YDL079C	4932.YOR386W	ptmod		f	f	185
4932.YDR110W	4932.YJL076W	inhibition	inhibition	f	t	800
4932.YDR110W	4932.YJL076W	binding		f	f	654
4932.YDR194C	4932.YJR045C	reaction		f	f	188
4932.YDR194C	4932.YJR045C	catalysis		t	t	188
4932.YDR194C	4932.YJR045C	binding		f	t	188
4932.YCL004W	4932.YER031C	binding		f	f	187
4932.YCL004W	4932.YER031C	activation	activation	f	f	193
4932.YCL004W	4932.YER031C	expression		t	f	167
4932.YJR090C	4932.YKL059C	catalysis		t	t	900
4932.YJR090C	4932.YKL059C	reaction		t	f	900
4932.YAL017W	4932.YDR490C	reaction		t	t	188
4932.YAL017W	4932.YDR490C	binding		f	t	188
4932.YAL017W	4932.YDR490C	activation	activation	t	t	188
4932.YAL017W	4932.YDR490C	catalysis		t	t	188
4932.YAL017W	4932.YDR490C	ptmod		t	t	179
4932.YMR242C	4932.YOR096W	catalysis		t	f	573
4932.YMR242C	4932.YOR096W	binding		f	t	898
4932.YMR242C	4932.YOR096W	reaction		t	f	573
4932.YNL250W	4932.YPL110C	catalysis		t	f	250
4932.YNL250W	4932.YPL110C	binding		f	t	250
4932.YNL250W	4932.YPL110C	reaction		t	f	250
4932.YLR127C	4932.YOR339C	reaction		t	t	787
4932.YLR127C	4932.YOR339C	binding		f	t	787
4932.YLR127C	4932.YOR339C	catalysis		t	f	787
4932.YLR382C	4932.YNL073W	binding		f	f	377
4932.YBR079C	4932.YJL190C	binding		f	t	952
4932.YBR079C	4932.YJL190C	reaction		t	t	952
4932.YIL148W	4932.YKL010C	reaction		f	f	240
4932.YIL148W	4932.YKL010C	binding		f	f	240
4932.YIL148W	4932.YKL010C	catalysis		t	t	240
4932.YLR446W	4932.YPR104C	activation	activation	t	f	187
4932.YDR172W	4932.YOR096W	catalysis		t	t	961
4932.YDR172W	4932.YOR096W	binding		f	t	961
4932.YDR172W	4932.YOR096W	reaction		t	t	961
4932.YAL017W	4932.YLL039C	reaction		f	f	188
4932.YAL017W	4932.YLL039C	binding		f	f	188
4932.YAL017W	4932.YLL039C	catalysis		t	t	188
4932.YCR052W	4932.YPL230W	binding		f	f	183
4932.YCR052W	4932.YPL230W	activation	activation	t	t	183
4932.YGL163C	4932.YPL235W	reaction		f	f	175
4932.YGL163C	4932.YPL235W	binding		f	f	175
4932.YCR051W	4932.YOR127W	catalysis		t	t	161
4932.YCR051W	4932.YOR127W	binding		f	t	161
4932.YCR051W	4932.YOR127W	reaction		t	f	161
4932.YHR047C	4932.YPR162C	binding		f	t	675
4932.YKL006W	4932.YPR080W	catalysis		t	f	173
4932.YKL006W	4932.YPR080W	reaction		t	f	173
4932.YKL006W	4932.YPR080W	binding		f	t	173
4932.YHR207C	4932.YPR013C	reaction		f	f	188
4932.YHR207C	4932.YPR013C	binding		f	f	188
4932.YHR207C	4932.YPR013C	catalysis		t	t	188
4932.YNL004W	4932.YPR161C	binding		f	t	272
4932.YDR034C-C	4932.YOL103W-A	binding		f	f	416
4932.YDR135C	4932.YJL056C	activation	activation	t	f	181
4932.YBR109C	4932.YGR217W	binding		f	t	188
4932.YBR109C	4932.YGR217W	ptmod		t	t	181
4932.YGR276C	4932.YJR127C	reaction		f	f	179
4932.YGR276C	4932.YJR127C	binding		f	t	179
4932.YGL035C	4932.YMR213W	activation	activation	t	f	181
4932.YGL035C	4932.YMR213W	reaction		f	f	188
4932.YGL035C	4932.YMR213W	catalysis		t	f	188
4932.YGL035C	4932.YMR213W	binding		f	f	188
4932.YGL035C	4932.YMR213W	inhibition	inhibition	t	t	181
4932.YGL035C	4932.YMR213W	expression	inhibition	t	t	157
4932.YDR139C	4932.YDR146C	binding		f	f	150
4932.YDR139C	4932.YDR146C	activation	activation	t	f	150
4932.YDR139C	4932.YDR146C	catalysis		t	t	150
4932.YDR139C	4932.YDR146C	reaction		t	t	150
4932.YDL155W	4932.YGR109C	reaction		t	f	900
4932.YDL155W	4932.YGR109C	catalysis		t	f	900
4932.YMR001C	4932.YMR068W	catalysis		t	f	224
4932.YMR001C	4932.YMR068W	binding		f	t	171
4932.YMR001C	4932.YMR068W	activation	activation	t	f	185
4932.YMR001C	4932.YMR068W	ptmod		t	t	171
4932.YDR295C	4932.YIL144W	binding		f	t	433
4932.YDR075W	4932.YER130C	binding		f	f	185
4932.YDR075W	4932.YER130C	ptmod		t	t	159
4932.YDR099W	4932.YHL007C	activation	activation	f	f	808
4932.YDR099W	4932.YHL007C	binding		f	f	577
4932.YGR052W	4932.YIR026C	expression		t	t	161
4932.YGR052W	4932.YIR026C	binding		f	t	183
4932.YGR052W	4932.YIR026C	activation	activation	f	f	185
4932.YGR052W	4932.YIR026C	ptmod		t	f	161
4932.YDR313C	4932.YPR042C	binding		f	t	159
4932.YCR018C	4932.YPL239W	expression		t	f	153
4932.YCR018C	4932.YPL239W	activation	activation	t	f	183
4932.YCR018C	4932.YPL239W	ptmod		t	f	161
4932.YDR153C	4932.YOR233W	binding		f	t	188
4932.YCR038C	4932.YNL307C	activation	activation	f	f	188
4932.YCR038C	4932.YNL307C	catalysis		t	t	188
4932.YCR038C	4932.YNL307C	binding		f	t	188
4932.YCR038C	4932.YNL307C	inhibition	inhibition	t	f	185
4932.YCR038C	4932.YNL307C	reaction		t	t	188
4932.YCR038C	4932.YNL307C	ptmod		t	f	167
4932.YJL095W	4932.YOR373W	binding		f	t	215
4932.YJL095W	4932.YOR373W	activation	activation	t	f	185
4932.YIL021W	4932.YOR319W	reaction		t	t	905
4932.YIL021W	4932.YOR319W	binding		f	f	905
4932.YER164W	4932.YPL022W	reaction		t	t	156
4932.YER164W	4932.YPL022W	catalysis		t	f	156
4932.YER164W	4932.YPL022W	binding		f	f	156
4932.YHL013C	4932.YPL074W	binding		f	f	211
4932.YBL105C	4932.YEL002C	binding		f	t	577
4932.YJL191W	4932.YJR094W-A	catalysis		t	f	573
4932.YJL191W	4932.YJR094W-A	binding		f	t	573
4932.YJL191W	4932.YJR094W-A	reaction		t	f	573
4932.YDR155C	4932.YIL021W	reaction		f	f	903
4932.YDR155C	4932.YIL021W	binding		f	f	903
4932.YDR155C	4932.YIL021W	catalysis		t	t	903
4932.YAL040C	4932.YER045C	expression		t	f	183
4932.YAL040C	4932.YER045C	activation	activation	t	f	187
4932.YEL050C	4932.YOL023W	catalysis		t	f	295
4932.YEL050C	4932.YOL023W	binding		f	f	295
4932.YEL050C	4932.YOL023W	reaction		t	t	295
4932.YIR006C	4932.YJR058C	catalysis		t	f	197
4932.YIR006C	4932.YJR058C	binding		f	t	197
4932.YIR006C	4932.YJR058C	reaction		t	f	197
4932.YHR112C	4932.YOR285W	binding		f	f	188
4932.YML049C	4932.YNL138W-A	reaction		t	f	787
4932.YML049C	4932.YNL138W-A	binding		f	f	968
4932.YML049C	4932.YNL138W-A	catalysis		t	t	783
4932.YIL046W	4932.YJR036C	reaction		t	f	904
4932.YIL046W	4932.YJR036C	catalysis		t	f	904
4932.YAL017W	4932.YEL009C	activation	activation	t	t	187
4932.YAL017W	4932.YEL009C	expression		t	t	181
4932.YAL017W	4932.YEL009C	binding		f	f	185
4932.YAL017W	4932.YEL009C	inhibition	inhibition	t	t	185
4932.YAL017W	4932.YEL009C	ptmod		t	t	185
4932.YFR023W	4932.YHR218W	reaction		t	t	188
4932.YFR023W	4932.YHR218W	catalysis		t	f	188
4932.YFR023W	4932.YHR218W	binding		f	f	188
4932.YKR008W	4932.YPR034W	binding		f	t	920
4932.YKR008W	4932.YPR034W	reaction		t	t	188
4932.YMR033W	4932.YOL004W	binding		f	t	294
4932.YGR155W	4932.YJR040W	binding		f	t	394
4932.YBL016W	4932.YOR373W	binding		f	t	167
4932.YBL016W	4932.YOR373W	expression		t	t	167
4932.YBL016W	4932.YOR373W	ptmod		t	f	167
4932.YDL079C	4932.YOR014W	reaction		t	t	300
4932.YDL079C	4932.YOR014W	inhibition	inhibition	t	t	300
4932.YDL079C	4932.YOR014W	catalysis		t	t	300
4932.YDL079C	4932.YOR014W	binding		f	t	300
4932.YDL079C	4932.YOR014W	activation	activation	t	f	207
4932.YER025W	4932.YNL112W	reaction		t	t	200
4932.YER025W	4932.YNL112W	binding		f	t	200
4932.YDR518W	4932.YLR354C	binding		f	f	187
4932.YGR148C	4932.YIL133C	catalysis		t	t	570
4932.YGR148C	4932.YIL133C	binding		f	f	570
4932.YGR148C	4932.YIL133C	reaction		t	t	570
4932.YLL039C	4932.YLR441C	reaction		f	f	631
4932.YLL039C	4932.YLR441C	catalysis		t	t	631
4932.YLL039C	4932.YLR441C	binding		f	t	631
4932.YEL012W	4932.YPR066W	reaction		t	f	188
4932.YEL012W	4932.YPR066W	catalysis		t	t	603
4932.YBR295W	4932.YJR059W	ptmod		t	f	165
4932.YBR295W	4932.YJR059W	expression		t	t	165
4932.YHR129C	4932.YJR066W	activation	activation	t	t	185
4932.YHR129C	4932.YJR066W	binding		f	f	188
4932.YHR129C	4932.YJR066W	ptmod		t	f	169
4932.YLL036C	4932.YMR290C	reaction		t	t	171
4932.YLL036C	4932.YMR290C	catalysis		t	f	171
4932.YLL036C	4932.YMR290C	binding		f	f	171
4932.YNL180C	4932.YPL150W	inhibition	inhibition	t	f	181
4932.YNL180C	4932.YPL150W	activation	activation	t	f	188
4932.YNL180C	4932.YPL150W	expression		t	t	163
4932.YNL180C	4932.YPL150W	binding		f	t	188
4932.YNL180C	4932.YPL150W	catalysis		t	f	188
4932.YNL180C	4932.YPL150W	ptmod		t	t	177
4932.YNL180C	4932.YPL150W	reaction		t	t	188
4932.YJL136C	4932.YKR084C	catalysis		t	f	150
4932.YJL136C	4932.YKR084C	binding		f	t	150
4932.YJL136C	4932.YKR084C	reaction		t	f	150
4932.YBR191W	4932.YGR214W	binding		f	f	955
4932.YBR191W	4932.YGR214W	catalysis		t	t	955
4932.YBR191W	4932.YGR214W	reaction		t	t	955
4932.YDR390C	4932.YOR285W	binding		f	t	211
4932.YDR390C	4932.YOR285W	activation	activation	f	f	189
4932.YDR484W	4932.YNL209W	binding		f	t	287
4932.YDR012W	4932.YDR237W	reaction		t	t	262
4932.YDR012W	4932.YDR237W	binding		f	t	262
4932.YDR012W	4932.YDR237W	catalysis		t	f	262
4932.YBR103W	4932.YOR295W	reaction		f	f	209
4932.YBR103W	4932.YOR295W	binding		f	f	215
4932.YDR177W	4932.YHR076W	reaction		t	f	188
4932.YDR177W	4932.YHR076W	activation	activation	t	t	185
4932.YDR177W	4932.YHR076W	catalysis		t	f	188
4932.YLR357W	4932.YOL012C	catalysis		t	t	201
4932.YLR357W	4932.YOL012C	binding		f	t	704
4932.YLR357W	4932.YOL012C	reaction		t	f	189
4932.YLR357W	4932.YOL012C	ptmod		t	t	183
4932.YMR127C	4932.YNL250W	reaction		t	t	188
4932.YMR127C	4932.YNL250W	catalysis		t	t	188
4932.YMR127C	4932.YNL250W	binding		f	f	188
4932.YCR057C	4932.YIL091C	binding		f	t	975
4932.YGL207W	4932.YGR005C	binding		f	t	902
4932.YGL207W	4932.YGR005C	reaction		f	f	902
4932.YGL207W	4932.YGR005C	catalysis		t	f	902
4932.YMR308C	4932.YOL127W	binding		f	f	577
4932.YLL039C	4932.YLR467W	binding		f	t	154
4932.YLL039C	4932.YLR467W	reaction		f	f	154
4932.YLL039C	4932.YLR467W	catalysis		t	f	154
4932.YHR077C	4932.YMR121C	reaction		f	f	900
4932.YHR077C	4932.YMR121C	catalysis		t	t	900
4932.YHR077C	4932.YMR121C	binding		f	t	900
4932.YHR030C	4932.YKL220C	activation	activation	f	f	208
4932.YHR030C	4932.YKL220C	ptmod		t	t	181
4932.YHR030C	4932.YKL220C	expression	inhibition	t	t	181
4932.YBR212W	4932.YKL171W	expression	inhibition	t	f	156
4932.YBR212W	4932.YKL171W	binding		f	f	156
