>/home/user1/code/PPIKG/method/AFTGAN/data/protein.SHS27k.sequences.dictionary.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/protein.actions.SHS27k.STRING.txt
9606.ENSP00000259406	9606.ENSP00000261769
9606.ENSP00000240055	9606.ENSP00000230122
9606.ENSP00000005340	9606.ENSP00000251630
9606.ENSP00000215832	9606.ENSP00000243924
9606.ENSP00000222573	9606.ENSP00000226284
9606.ENSP00000209884	9606.ENSP00000261427
9606.ENSP00000181839	9606.ENSP00000221265
9606.ENSP00000229264	9606.ENSP00000260600
9606.ENSP00000245544	9606.ENSP00000209873
9606.ENSP00000055077	9606.ENSP00000219252
9606.ENSP00000229195	9606.ENSP00000052754
9606.ENSP00000252723	9606.ENSP00000227752
9606.ENSP00000078429	9606.ENSP00000206249
9606.ENSP00000216160	9606.ENSP00000224764
9606.ENSP00000220003	9606.ENSP00000171887
9606.ENSP00000247461	9606.ENSP00000037502
9606.ENSP00000219255	9606.ENSP00000201979
9606.ENSP00000260404	9606.ENSP00000233154
9606.ENSP00000215071	9606.ENSP00000257904
9606.ENSP00000233893	9606.ENSP00000258091
9606.ENSP00000007390	9606.ENSP00000234626
9606.ENSP00000230990	9606.ENSP00000250003
9606.ENSP00000226730	9606.ENSP00000257724
9606.ENSP00000261597	9606.ENSP00000229179
9606.ENSP00000227163	9606.ENSP00000245816
9606.ENSP00000262300	9606.ENSP00000260967
9606.ENSP00000215659	9606.ENSP00000261991
9606.ENSP00000210313	9606.ENSP00000227758
9606.ENSP00000078429	9606.ENSP00000215885
9606.ENSP00000053468	9606.ENSP00000256441
9606.ENSP00000217185	9606.ENSP00000231509
9606.ENSP00000225916	9606.ENSP00000254810
9606.ENSP00000225792	9606.ENSP00000250863
9606.ENSP00000240139	9606.ENSP00000223364
9606.ENSP00000215832	9606.ENSP00000232014
9606.ENSP00000162749	9606.ENSP00000216797
9606.ENSP00000229794	9606.ENSP00000231454
9606.ENSP00000234310	9606.ENSP00000261819
9606.ENSP00000253754	9606.ENSP00000201979
9606.ENSP00000007699	9606.ENSP00000254963
9606.ENSP00000252723	9606.ENSP00000216223
9606.ENSP00000261837	9606.ENSP00000019103
9606.ENSP00000160827	9606.ENSP00000260753
9606.ENSP00000219255	9606.ENSP00000241463
9606.ENSP00000229264	9606.ENSP00000256953
9606.ENSP00000217026	9606.ENSP00000256442
9606.ENSP00000231228	9606.ENSP00000216223
9606.ENSP00000236850	9606.ENSP00000227667
9606.ENSP00000052754	9606.ENSP00000260950
9606.ENSP00000250971	9606.ENSP00000219070
9606.ENSP00000157812	9606.ENSP00000231487
9606.ENSP00000254695	9606.ENSP00000261890
9606.ENSP00000221138	9606.ENSP00000261609
9606.ENSP00000052754	9606.ENSP00000229922
9606.ENSP00000248996	9606.ENSP00000225577
9606.ENSP00000205948	9606.ENSP00000243389
9606.ENSP00000256797	9606.ENSP00000257430
9606.ENSP00000228644	9606.ENSP00000250003
9606.ENSP00000262238	9606.ENSP00000201031
9606.ENSP00000078429	9606.ENSP00000218721
9606.ENSP00000256078	9606.ENSP00000254301
9606.ENSP00000215659	9606.ENSP00000230419
9606.ENSP00000075503	9606.ENSP00000248706
9606.ENSP00000227507	9606.ENSP00000254301
9606.ENSP00000262238	9606.ENSP00000256594
9606.ENSP00000255194	9606.ENSP00000003302
9606.ENSP00000229328	9606.ENSP00000261233
9606.ENSP00000261531	9606.ENSP00000080059
9606.ENSP00000215071	9606.ENSP00000260967
9606.ENSP00000261600	9606.ENSP00000209873
9606.ENSP00000228534	9606.ENSP00000242338
9606.ENSP00000259808	9606.ENSP00000241261
9606.ENSP00000261799	9606.ENSP00000220597
9606.ENSP00000055077	9606.ENSP00000261368
9606.ENSP00000244741	9606.ENSP00000257904
9606.ENSP00000217652	9606.ENSP00000211998
9606.ENSP00000005257	9606.ENSP00000217185
9606.ENSP00000196551	9606.ENSP00000216774
9606.ENSP00000199814	9606.ENSP00000243563
9606.ENSP00000255465	9606.ENSP00000262133
9606.ENSP00000005340	9606.ENSP00000250559
9606.ENSP00000176183	9606.ENSP00000257497
9606.ENSP00000244050	9606.ENSP00000259915
9606.ENSP00000215793	9606.ENSP00000260061
9606.ENSP00000249373	9606.ENSP00000216639
9606.ENSP00000176195	9606.ENSP00000258034
9606.ENSP00000244230	9606.ENSP00000199320
9606.ENSP00000221138	9606.ENSP00000241453
9606.ENSP00000219476	9606.ENSP00000248706
9606.ENSP00000222247	9606.ENSP00000215956
9606.ENSP00000259089	9606.ENSP00000261211
9606.ENSP00000255465	9606.ENSP00000181839
9606.ENSP00000225577	9606.ENSP00000256078
9606.ENSP00000243349	9606.ENSP00000224605
9606.ENSP00000220751	9606.ENSP00000237289
9606.ENSP00000223023	9606.ENSP00000011653
9606.ENSP00000215781	9606.ENSP00000222139
9606.ENSP00000256442	9606.ENSP00000222402
9606.ENSP00000217958	9606.ENSP00000164133
9606.ENSP00000055077	9606.ENSP00000216797
9606.ENSP00000254958	9606.ENSP00000220751
9606.ENSP00000231454	9606.ENSP00000242338
9606.ENSP00000229328	9606.ENSP00000155926
9606.ENSP00000256897	9606.ENSP00000256443
9606.ENSP00000229328	9606.ENSP00000158166
9606.ENSP00000178640	9606.ENSP00000257290
9606.ENSP00000225577	9606.ENSP00000261302
9606.ENSP00000215832	9606.ENSP00000261313
9606.ENSP00000222573	9606.ENSP00000258969
9606.ENSP00000239462	9606.ENSP00000234071
9606.ENSP00000218388	9606.ENSP00000254227
9606.ENSP00000234389	9606.ENSP00000207437
9606.ENSP00000005226	9606.ENSP00000254958
9606.ENSP00000206249	9606.ENSP00000201031
9606.ENSP00000229794	9606.ENSP00000162023
9606.ENSP00000261991	9606.ENSP00000217233
9606.ENSP00000052754	9606.ENSP00000238682
9606.ENSP00000261366	9606.ENSP00000229595
9606.ENSP00000233944	9606.ENSP00000261200
9606.ENSP00000019103	9606.ENSP00000243673
9606.ENSP00000217185	9606.ENSP00000175756
9606.ENSP00000248996	9606.ENSP00000218006
9606.ENSP00000244020	9606.ENSP00000156109
9606.ENSP00000005340	9606.ENSP00000219255
9606.ENSP00000262077	9606.ENSP00000209873
9606.ENSP00000002125	9606.ENSP00000260361
9606.ENSP00000158771	9606.ENSP00000257575
9606.ENSP00000161863	9606.ENSP00000232888
9606.ENSP00000229135	9606.ENSP00000230882
9606.ENSP00000156825	9606.ENSP00000249396
9606.ENSP00000199814	9606.ENSP00000035383
9606.ENSP00000055077	9606.ENSP00000223129
9606.ENSP00000259750	9606.ENSP00000199320
9606.ENSP00000176195	9606.ENSP00000254122
9606.ENSP00000211287	9606.ENSP00000256460
9606.ENSP00000216181	9606.ENSP00000211998
9606.ENSP00000225983	9606.ENSP00000237264
9606.ENSP00000156471	9606.ENSP00000221494
9606.ENSP00000229794	9606.ENSP00000248564
9606.ENSP00000230449	9606.ENSP00000246792
9606.ENSP00000222753	9606.ENSP00000216733
9606.ENSP00000228280	9606.ENSP00000249075
9606.ENSP00000052754	9606.ENSP00000244741
9606.ENSP00000261991	9606.ENSP00000232375
9606.ENSP00000200135	9606.ENSP00000229179
9606.ENSP00000256646	9606.ENSP00000227451
9606.ENSP00000262158	9606.ENSP00000222304
9606.ENSP00000215832	9606.ENSP00000239223
9606.ENSP00000005257	9606.ENSP00000251630
9606.ENSP00000226730	9606.ENSP00000242480
9606.ENSP00000161863	9606.ENSP00000225298
9606.ENSP00000211287	9606.ENSP00000252818
9606.ENSP00000261769	9606.ENSP00000218147
9606.ENSP00000052754	9606.ENSP00000258711
9606.ENSP00000234296	9606.ENSP00000257789
9606.ENSP00000262039	9606.ENSP00000180166
9606.ENSP00000215832	9606.ENSP00000261349
9606.ENSP00000232461	9606.ENSP00000258302
9606.ENSP00000227507	9606.ENSP00000261386
9606.ENSP00000007969	9606.ENSP00000261531
9606.ENSP00000215659	9606.ENSP00000253055
9606.ENSP00000053867	9606.ENSP00000256637
9606.ENSP00000202773	9606.ENSP00000223641
9606.ENSP00000261769	9606.ENSP00000162391
9606.ENSP00000009180	9606.ENSP00000011898
9606.ENSP00000219255	9606.ENSP00000216911
9606.ENSP00000232564	9606.ENSP00000261636
9606.ENSP00000250971	9606.ENSP00000179259
9606.ENSP00000046794	9606.ENSP00000240618
9606.ENSP00000229328	9606.ENSP00000232375
9606.ENSP00000261799	9606.ENSP00000215530
9606.ENSP00000000412	9606.ENSP00000242285
9606.ENSP00000178640	9606.ENSP00000229002
9606.ENSP00000252699	9606.ENSP00000035383
9606.ENSP00000229328	9606.ENSP00000055335
9606.ENSP00000211287	9606.ENSP00000261890
9606.ENSP00000175756	9606.ENSP00000254667
9606.ENSP00000261799	9606.ENSP00000253792
9606.ENSP00000233944	9606.ENSP00000025008
9606.ENSP00000260967	9606.ENSP00000162391
9606.ENSP00000215832	9606.ENSP00000184956
9606.ENSP00000229794	9606.ENSP00000259808
9606.ENSP00000215587	9606.ENSP00000237853
9606.ENSP00000256458	9606.ENSP00000257430
9606.ENSP00000227507	9606.ENSP00000228644
9606.ENSP00000232564	9606.ENSP00000256078
9606.ENSP00000053469	9606.ENSP00000243052
9606.ENSP00000075503	9606.ENSP00000201979
9606.ENSP00000230449	9606.ENSP00000248706
9606.ENSP00000157812	9606.ENSP00000225577
9606.ENSP00000261845	9606.ENSP00000250896
9606.ENSP00000242208	9606.ENSP00000204604
9606.ENSP00000005284	9606.ENSP00000164133
9606.ENSP00000000442	9606.ENSP00000245479
9606.ENSP00000161863	9606.ENSP00000221801
9606.ENSP00000006053	9606.ENSP00000244869
9606.ENSP00000168148	9606.ENSP00000242465
9606.ENSP00000231454	9606.ENSP00000230882
9606.ENSP00000215659	9606.ENSP00000240335
9606.ENSP00000239027	9606.ENSP00000160382
9606.ENSP00000078429	9606.ENSP00000229955
9606.ENSP00000236192	9606.ENSP00000257017
9606.ENSP00000251849	9606.ENSP00000256953
9606.ENSP00000256458	9606.ENSP00000172229
9606.ENSP00000158771	9606.ENSP00000228928
9606.ENSP00000255381	9606.ENSP00000207437
9606.ENSP00000261799	9606.ENSP00000233607
9606.ENSP00000231454	9606.ENSP00000243213
9606.ENSP00000219255	9606.ENSP00000261636
9606.ENSP00000215587	9606.ENSP00000259895
9606.ENSP00000229264	9606.ENSP00000261890
9606.ENSP00000222573	9606.ENSP00000182290
9606.ENSP00000240139	9606.ENSP00000261799
9606.ENSP00000003084	9606.ENSP00000260645
9606.ENSP00000225969	9606.ENSP00000252602
9606.ENSP00000219070	9606.ENSP00000258743
9606.ENSP00000212015	9606.ENSP00000241651
9606.ENSP00000215832	9606.ENSP00000256458
9606.ENSP00000202677	9606.ENSP00000238738
9606.ENSP00000216639	9606.ENSP00000227507
9606.ENSP00000229971	9606.ENSP00000255465
9606.ENSP00000261637	9606.ENSP00000199320
9606.ENSP00000245451	9606.ENSP00000259915
9606.ENSP00000251849	9606.ENSP00000233668
9606.ENSP00000261845	9606.ENSP00000220062
9606.ENSP00000217026	9606.ENSP00000262133
9606.ENSP00000019103	9606.ENSP00000243911
9606.ENSP00000202017	9606.ENSP00000261813
9606.ENSP00000211287	9606.ENSP00000256196
9606.ENSP00000005257	9606.ENSP00000226207
9606.ENSP00000261254	9606.ENSP00000228682
9606.ENSP00000262017	9606.ENSP00000228872
9606.ENSP00000176183	9606.ENSP00000240619
9606.ENSP00000222390	9606.ENSP00000239938
9606.ENSP00000217188	9606.ENSP00000215368
9606.ENSP00000221957	9606.ENSP00000054666
9606.ENSP00000220751	9606.ENSP00000200457
9606.ENSP00000055077	9606.ENSP00000254719
9606.ENSP00000229794	9606.ENSP00000248594
9606.ENSP00000217244	9606.ENSP00000234111
9606.ENSP00000019317	9606.ENSP00000229002
9606.ENSP00000232564	9606.ENSP00000241256
9606.ENSP00000201031	9606.ENSP00000250448
9606.ENSP00000219476	9606.ENSP00000200453
9606.ENSP00000019317	9606.ENSP00000216101
9606.ENSP00000200457	9606.ENSP00000215957
9606.ENSP00000254695	9606.ENSP00000005257
9606.ENSP00000014930	9606.ENSP00000259455
9606.ENSP00000238682	9606.ENSP00000262160
9606.ENSP00000181839	9606.ENSP00000256398
9606.ENSP00000173229	9606.ENSP00000218032
9606.ENSP00000007722	9606.ENSP00000200181
9606.ENSP00000261937	9606.ENSP00000257430
9606.ENSP00000044462	9606.ENSP00000229758
9606.ENSP00000257904	9606.ENSP00000235090
9606.ENSP00000229794	9606.ENSP00000251849
9606.ENSP00000250244	9606.ENSP00000005257
9606.ENSP00000162749	9606.ENSP00000259075
9606.ENSP00000250971	9606.ENSP00000216780
9606.ENSP00000257904	9606.ENSP00000261302
9606.ENSP00000160827	9606.ENSP00000258198
9606.ENSP00000218075	9606.ENSP00000185206
9606.ENSP00000216225	9606.ENSP00000171111
9606.ENSP00000261799	9606.ENSP00000253063
9606.ENSP00000248975	9606.ENSP00000261636
9606.ENSP00000252818	9606.ENSP00000262160
9606.ENSP00000178640	9606.ENSP00000238738
9606.ENSP00000232975	9606.ENSP00000261891
9606.ENSP00000259512	9606.ENSP00000194118
9606.ENSP00000000412	9606.ENSP00000261205
9606.ENSP00000261991	9606.ENSP00000250559
9606.ENSP00000255194	9606.ENSP00000158762
9606.ENSP00000252172	9606.ENSP00000207437
9606.ENSP00000209884	9606.ENSP00000219548
9606.ENSP00000219255	9606.ENSP00000245304
9606.ENSP00000164133	9606.ENSP00000242872
9606.ENSP00000229794	9606.ENSP00000260010
9606.ENSP00000215793	9606.ENSP00000259324
9606.ENSP00000231498	9606.ENSP00000209873
9606.ENSP00000231449	9606.ENSP00000260010
9606.ENSP00000012443	9606.ENSP00000207437
9606.ENSP00000221138	9606.ENSP00000225577
9606.ENSP00000253055	9606.ENSP00000216160
9606.ENSP00000215587	9606.ENSP00000261900
9606.ENSP00000173229	9606.ENSP00000234038
9606.ENSP00000216373	9606.ENSP00000241463
9606.ENSP00000249749	9606.ENSP00000222266
9606.ENSP00000262211	9606.ENSP00000250559
9606.ENSP00000003084	9606.ENSP00000231449
9606.ENSP00000217233	9606.ENSP00000216160
9606.ENSP00000231449	9606.ENSP00000226730
9606.ENSP00000221138	9606.ENSP00000226193
9606.ENSP00000230771	9606.ENSP00000256383
9606.ENSP00000250971	9606.ENSP00000234111
9606.ENSP00000238682	9606.ENSP00000224764
9606.ENSP00000196061	9606.ENSP00000252599
9606.ENSP00000231449	9606.ENSP00000232501
9606.ENSP00000262133	9606.ENSP00000261211
9606.ENSP00000054668	9606.ENSP00000218721
9606.ENSP00000229135	9606.ENSP00000227752
9606.ENSP00000233627	9606.ENSP00000184266
9606.ENSP00000205402	9606.ENSP00000216185
9606.ENSP00000054666	9606.ENSP00000221283
9606.ENSP00000248437	9606.ENSP00000216341
9606.ENSP00000216117	9606.ENSP00000217515
9606.ENSP00000212015	9606.ENSP00000252723
9606.ENSP00000254351	9606.ENSP00000052754
9606.ENSP00000228307	9606.ENSP00000205890
9606.ENSP00000225577	9606.ENSP00000257749
9606.ENSP00000219476	9606.ENSP00000005257
9606.ENSP00000012443	9606.ENSP00000256953
9606.ENSP00000231449	9606.ENSP00000225842
9606.ENSP00000220003	9606.ENSP00000226091
9606.ENSP00000005340	9606.ENSP00000253055
9606.ENSP00000226574	9606.ENSP00000164227
9606.ENSP00000219070	9606.ENSP00000245983
9606.ENSP00000000233	9606.ENSP00000254695
9606.ENSP00000224784	9606.ENSP00000223167
9606.ENSP00000216225	9606.ENSP00000229758
9606.ENSP00000206474	9606.ENSP00000238341
9606.ENSP00000228872	9606.ENSP00000231487
9606.ENSP00000252723	9606.ENSP00000225474
9606.ENSP00000261845	9606.ENSP00000216160
9606.ENSP00000224784	9606.ENSP00000249071
9606.ENSP00000225428	9606.ENSP00000215587
9606.ENSP00000262039	9606.ENSP00000171887
9606.ENSP00000240055	9606.ENSP00000155093
9606.ENSP00000230449	9606.ENSP00000245304
9606.ENSP00000221515	9606.ENSP00000262209
9606.ENSP00000000233	9606.ENSP00000178640
9606.ENSP00000232564	9606.ENSP00000250559
9606.ENSP00000234091	9606.ENSP00000245451
9606.ENSP00000229328	9606.ENSP00000217188
9606.ENSP00000215659	9606.ENSP00000249071
9606.ENSP00000240139	9606.ENSP00000226004
9606.ENSP00000215832	9606.ENSP00000239938
9606.ENSP00000231509	9606.ENSP00000223095
9606.ENSP00000215832	9606.ENSP00000216117
9606.ENSP00000215793	9606.ENSP00000219252
9606.ENSP00000261799	9606.ENSP00000246069
9606.ENSP00000170168	9606.ENSP00000240316
9606.ENSP00000211287	9606.ENSP00000216160
9606.ENSP00000215587	9606.ENSP00000237264
9606.ENSP00000078429	9606.ENSP00000259406
9606.ENSP00000215587	9606.ENSP00000223129
9606.ENSP00000261769	9606.ENSP00000255681
9606.ENSP00000222254	9606.ENSP00000230419
9606.ENSP00000248975	9606.ENSP00000256196
9606.ENSP00000004982	9606.ENSP00000248553
9606.ENSP00000245544	9606.ENSP00000229390
9606.ENSP00000254695	9606.ENSP00000216127
9606.ENSP00000222969	9606.ENSP00000052754
9606.ENSP00000170630	9606.ENSP00000225474
9606.ENSP00000164133	9606.ENSP00000251074
9606.ENSP00000261799	9606.ENSP00000220062
9606.ENSP00000260645	9606.ENSP00000016171
9606.ENSP00000215781	9606.ENSP00000255409
9606.ENSP00000262077	9606.ENSP00000215829
9606.ENSP00000257290	9606.ENSP00000215530
9606.ENSP00000243349	9606.ENSP00000241416
9606.ENSP00000248996	9606.ENSP00000217270
9606.ENSP00000239849	9606.ENSP00000228534
9606.ENSP00000000233	9606.ENSP00000216373
9606.ENSP00000020673	9606.ENSP00000220062
9606.ENSP00000166345	9606.ENSP00000223073
9606.ENSP00000215909	9606.ENSP00000245919
9606.ENSP00000229135	9606.ENSP00000241261
9606.ENSP00000252575	9606.ENSP00000029410
9606.ENSP00000256442	9606.ENSP00000252506
9606.ENSP00000226574	9606.ENSP00000261211
9606.ENSP00000254584	9606.ENSP00000005257
9606.ENSP00000221494	9606.ENSP00000161863
9606.ENSP00000221930	9606.ENSP00000228872
9606.ENSP00000204961	9606.ENSP00000225831
9606.ENSP00000003084	9606.ENSP00000243253
9606.ENSP00000004982	9606.ENSP00000212015
9606.ENSP00000229135	9606.ENSP00000219070
9606.ENSP00000209728	9606.ENSP00000262144
9606.ENSP00000258743	9606.ENSP00000223095
9606.ENSP00000222345	9606.ENSP00000216101
9606.ENSP00000176195	9606.ENSP00000254227
9606.ENSP00000215832	9606.ENSP00000240139
9606.ENSP00000257290	9606.ENSP00000225688
9606.ENSP00000215659	9606.ENSP00000260967
9606.ENSP00000216252	9606.ENSP00000161863
9606.ENSP00000249269	9606.ENSP00000169551
9606.ENSP00000246957	9606.ENSP00000234040
9606.ENSP00000251630	9606.ENSP00000204961
9606.ENSP00000176183	9606.ENSP00000234961
9606.ENSP00000005340	9606.ENSP00000261636
9606.ENSP00000261303	9606.ENSP00000007264
9606.ENSP00000261991	9606.ENSP00000241463
9606.ENSP00000232461	9606.ENSP00000249016
9606.ENSP00000232564	9606.ENSP00000243911
9606.ENSP00000258080	9606.ENSP00000217169
9606.ENSP00000215832	9606.ENSP00000211998
9606.ENSP00000229264	9606.ENSP00000248706
9606.ENSP00000238738	9606.ENSP00000070846
9606.ENSP00000257904	9606.ENSP00000226574
9606.ENSP00000005284	9606.ENSP00000256343
9606.ENSP00000199706	9606.ENSP00000261413
9606.ENSP00000156471	9606.ENSP00000261308
9606.ENSP00000215793	9606.ENSP00000261951
9606.ENSP00000156471	9606.ENSP00000230640
9606.ENSP00000181839	9606.ENSP00000257904
9606.ENSP00000254958	9606.ENSP00000222725
9606.ENSP00000240055	9606.ENSP00000012134
9606.ENSP00000245479	9606.ENSP00000239151
9606.ENSP00000156471	9606.ENSP00000161863
9606.ENSP00000205402	9606.ENSP00000219406
9606.ENSP00000249373	9606.ENSP00000245157
9606.ENSP00000199814	9606.ENSP00000248668
9606.ENSP00000261845	9606.ENSP00000238738
9606.ENSP00000211287	9606.ENSP00000261937
9606.ENSP00000215587	9606.ENSP00000216294
9606.ENSP00000180166	9606.ENSP00000259748
9606.ENSP00000240139	9606.ENSP00000261819
9606.ENSP00000232461	9606.ENSP00000216127
9606.ENSP00000222390	9606.ENSP00000248071
9606.ENSP00000261769	9606.ENSP00000257189
9606.ENSP00000220751	9606.ENSP00000241463
9606.ENSP00000005257	9606.ENSP00000246792
9606.ENSP00000215832	9606.ENSP00000256797
9606.ENSP00000220751	9606.ENSP00000250559
9606.ENSP00000025008	9606.ENSP00000247470
9606.ENSP00000054668	9606.ENSP00000217386
9606.ENSP00000255465	9606.ENSP00000261211
9606.ENSP00000229135	9606.ENSP00000228872
9606.ENSP00000219070	9606.ENSP00000216733
9606.ENSP00000242067	9606.ENSP00000245157
9606.ENSP00000233607	9606.ENSP00000257555
9606.ENSP00000157812	9606.ENSP00000261461
9606.ENSP00000240055	9606.ENSP00000229854
9606.ENSP00000229794	9606.ENSP00000256196
9606.ENSP00000228347	9606.ENSP00000215587
9606.ENSP00000224784	9606.ENSP00000205557
9606.ENSP00000227524	9606.ENSP00000055077
9606.ENSP00000229794	9606.ENSP00000241463
9606.ENSP00000220003	9606.ENSP00000262300
9606.ENSP00000202967	9606.ENSP00000259806
9606.ENSP00000241453	9606.ENSP00000215368
9606.ENSP00000003084	9606.ENSP00000247207
9606.ENSP00000255465	9606.ENSP00000261819
9606.ENSP00000248975	9606.ENSP00000245304
9606.ENSP00000250971	9606.ENSP00000253801
9606.ENSP00000229264	9606.ENSP00000256196
9606.ENSP00000248996	9606.ENSP00000201979
9606.ENSP00000248975	9606.ENSP00000256078
9606.ENSP00000230354	9606.ENSP00000164227
9606.ENSP00000250971	9606.ENSP00000245479
9606.ENSP00000217185	9606.ENSP00000254667
9606.ENSP00000228837	9606.ENSP00000259988
9606.ENSP00000053468	9606.ENSP00000260443
9606.ENSP00000215574	9606.ENSP00000219548
9606.ENSP00000261991	9606.ENSP00000262187
9606.ENSP00000216367	9606.ENSP00000262105
9606.ENSP00000012443	9606.ENSP00000223167
9606.ENSP00000249016	9606.ENSP00000054668
9606.ENSP00000261837	9606.ENSP00000054668
9606.ENSP00000251849	9606.ENSP00000227507
9606.ENSP00000012443	9606.ENSP00000261597
9606.ENSP00000211287	9606.ENSP00000240100
9606.ENSP00000231061	9606.ENSP00000168148
9606.ENSP00000231449	9606.ENSP00000257189
9606.ENSP00000240055	9606.ENSP00000223428
9606.ENSP00000254436	9606.ENSP00000171111
9606.ENSP00000054666	9606.ENSP00000233242
9606.ENSP00000231454	9606.ENSP00000216223
9606.ENSP00000000233	9606.ENSP00000262215
9606.ENSP00000261722	9606.ENSP00000201979
9606.ENSP00000054666	9606.ENSP00000228825
9606.ENSP00000078429	9606.ENSP00000256196
9606.ENSP00000166345	9606.ENSP00000261015
9606.ENSP00000237596	9606.ENSP00000262304
9606.ENSP00000215659	9606.ENSP00000229812
9606.ENSP00000226730	9606.ENSP00000227752
9606.ENSP00000221930	9606.ENSP00000262160
9606.ENSP00000005340	9606.ENSP00000249071
9606.ENSP00000012443	9606.ENSP00000220507
9606.ENSP00000246957	9606.ENSP00000075503
9606.ENSP00000215659	9606.ENSP00000220751
9606.ENSP00000221138	9606.ENSP00000220751
9606.ENSP00000262144	9606.ENSP00000260967
9606.ENSP00000223167	9606.ENSP00000261207
9606.ENSP00000216274	9606.ENSP00000256196
9606.ENSP00000054668	9606.ENSP00000258042
9606.ENSP00000160382	9606.ENSP00000254480
9606.ENSP00000246657	9606.ENSP00000006053
9606.ENSP00000162749	9606.ENSP00000261623
9606.ENSP00000227524	9606.ENSP00000215587
9606.ENSP00000215574	9606.ENSP00000247977
9606.ENSP00000260010	9606.ENSP00000262101
9606.ENSP00000000233	9606.ENSP00000248901
9606.ENSP00000220772	9606.ENSP00000227507
9606.ENSP00000044462	9606.ENSP00000216225
9606.ENSP00000228307	9606.ENSP00000170168
9606.ENSP00000226574	9606.ENSP00000229416
9606.ENSP00000232564	9606.ENSP00000262211
9606.ENSP00000261845	9606.ENSP00000256261
9606.ENSP00000253792	9606.ENSP00000199447
9606.ENSP00000081029	9606.ENSP00000254630
9606.ENSP00000259555	9606.ENSP00000227752
9606.ENSP00000245479	9606.ENSP00000221992
9606.ENSP00000219476	9606.ENSP00000254101
9606.ENSP00000012443	9606.ENSP00000248706
9606.ENSP00000232461	9606.ENSP00000249389
9606.ENSP00000000233	9606.ENSP00000229794
9606.ENSP00000256104	9606.ENSP00000237380
9606.ENSP00000220507	9606.ENSP00000255006
9606.ENSP00000199814	9606.ENSP00000261308
9606.ENSP00000215793	9606.ENSP00000252011
9606.ENSP00000244520	9606.ENSP00000035383
9606.ENSP00000080059	9606.ENSP00000262133
9606.ENSP00000055077	9606.ENSP00000228843
9606.ENSP00000215781	9606.ENSP00000243213
9606.ENSP00000196551	9606.ENSP00000216554
9606.ENSP00000221138	9606.ENSP00000257290
9606.ENSP00000160827	9606.ENSP00000260605
9606.ENSP00000226284	9606.ENSP00000161863
9606.ENSP00000006015	9606.ENSP00000219070
9606.ENSP00000261890	9606.ENSP00000003084
9606.ENSP00000043402	9606.ENSP00000168977
9606.ENSP00000227665	9606.ENSP00000227667
9606.ENSP00000225512	9606.ENSP00000245451
9606.ENSP00000229794	9606.ENSP00000249071
9606.ENSP00000217188	9606.ENSP00000226091
9606.ENSP00000228837	9606.ENSP00000257408
9606.ENSP00000261845	9606.ENSP00000210313
9606.ENSP00000222254	9606.ENSP00000225577
9606.ENSP00000211287	9606.ENSP00000261636
9606.ENSP00000251630	9606.ENSP00000246069
9606.ENSP00000215071	9606.ENSP00000215941
9606.ENSP00000226207	9606.ENSP00000160382
