>/home/user1/code/PPIKG/method/AFTGAN/data/SYS30k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS30k.txt
4932.YDR404C	4932.YMR290C
4932.YDR079C-A	4932.YOR210W
4932.YAL011W	4932.YDR190C
4932.YGL131C	4932.YKL185W
4932.YBR089C-A	4932.YOR116C
4932.YKL215C	4932.YLL026W
4932.YDL048C	4932.YOL128C
4932.YGL128C	4932.YKL073W
4932.YGL209W	4932.YMR139W
4932.YDR337W	4932.YOR076C
4932.YAL044C	4932.YMR189W
4932.YDR432W	4932.YLR424W
4932.YDL056W	4932.YKR008W
4932.YBR009C	4932.YDR217C
4932.YLR113W	4932.YOL128C
4932.YGR270W	4932.YNL333W
4932.YDL192W	4932.YJL085W
4932.YAL017W	4932.YLR248W
4932.YJL056C	4932.YNL307C
4932.YHR079C	4932.YNL304W
4932.YDR139C	4932.YPL283C
4932.YFL029C	4932.YML059C
4932.YNR012W	4932.YPL204W
4932.YER075C	4932.YNL180C
4932.YBR110W	4932.YOR178C
4932.YNL084C	4932.YNL325C
4932.YAL032C	4932.YLR147C
4932.YNL307C	4932.YOR107W
4932.YMR068W	4932.YNL053W
4932.YBR008C	4932.YNL098C
4932.YHR030C	4932.YMR104C
4932.YOL111C	4932.YOR233W
4932.YER025W	4932.YGR054W
4932.YNL178W	4932.YOR234C
4932.YCR018C	4932.YOR233W
4932.YBR251W	4932.YPR043W
4932.YPL198W	4932.YPR080W
4932.YER171W	4932.YMR227C
4932.YDR146C	4932.YEL061C
4932.YDL047W	4932.YMR036C
4932.YJL105W	4932.YNL021W
4932.YML063W	4932.YMR146C
4932.YDL061C	4932.YOL120C
4932.YBR264C	4932.YOL112W
4932.YDR190C	4932.YDR264C
4932.YGL254W	4932.YLR229C
4932.YGL003C	4932.YGR133W
4932.YFR014C	4932.YMR072W
4932.YGR027C	4932.YLR075W
4932.YBR028C	4932.YMR182C
4932.YFL039C	4932.YPL230W
4932.YEL037C	4932.YKL049C
4932.YDR447C	4932.YOR150W
4932.YIL113W	4932.YPL031C
4932.YKR090W	4932.YNL180C
4932.YMR146C	4932.YMR188C
4932.YER020W	4932.YPR054W
4932.YER107C	4932.YPL151C
4932.YDR225W	4932.YPL216W
4932.YBL099W	4932.YDL004W
4932.YDL025C	4932.YNL250W
4932.YLR325C	4932.YMR188C
4932.YKL113C	4932.YPR010C
4932.YDR075W	4932.YER031C
4932.YBL092W	4932.YLR287C-A
4932.YDR447C	4932.YMR142C
4932.YGL147C	4932.YML073C
4932.YNR036C	4932.YOR063W
4932.YBR118W	4932.YDR169C
4932.YKR055W	4932.YMR171C
4932.YER056C-A	4932.YML024W
4932.YGL070C	4932.YLL039C
4932.YGL160W	4932.YLR113W
4932.YDR510W	4932.YPR186C
4932.YBL092W	4932.YMR230W
4932.YDR096W	4932.YPL165C
4932.YEL050C	4932.YER131W
4932.YHL004W	4932.YOR167C
4932.YDR041W	4932.YDR116C
4932.YKL041W	4932.YLR025W
4932.YJL001W	4932.YOR261C
4932.YGR109C	4932.YLL004W
4932.YBL054W	4932.YPL139C
4932.YGL180W	4932.YGR123C
4932.YDL006W	4932.YOR233W
4932.YAL035W	4932.YBR191W
4932.YDL208W	4932.YLR167W
4932.YJL225C	4932.YMR125W
4932.YPL031C	4932.YPR025C
4932.YDR432W	4932.YFR005C
4932.YHR023W	4932.YIL118W
4932.YHR026W	4932.YMR054W
4932.YER171W	4932.YKL112W
4932.YJR059W	4932.YLR248W
4932.YAL040C	4932.YMR309C
4932.YER095W	4932.YER179W
4932.YJL128C	4932.YLR240W
4932.YBR082C	4932.YPL038W
4932.YBR109C	4932.YGR052W
4932.YER029C	4932.YLR275W
4932.YDR054C	4932.YHR111W
4932.YIL078W	4932.YMR143W
4932.YGR091W	4932.YHR218W
4932.YMR182C	4932.YPR052C
4932.YIL133C	4932.YNL122C
4932.YKL016C	4932.YOL077W-A
4932.YKR059W	4932.YPL235W
4932.YBR214W	4932.YGL179C
4932.YIL076W	4932.YNL287W
4932.YKR094C	4932.YLR009W
4932.YER028C	4932.YLR318W
4932.YBR106W	4932.YGR231C
4932.YLR448W	4932.YPL178W
4932.YJL132W	4932.YNL307C
4932.YJL088W	4932.YMR314W
4932.YDR096W	4932.YPL203W
4932.YBR109C	4932.YHR023W
4932.YLR109W	4932.YLR246W
4932.YFR023W	4932.YGL078C
4932.YMR109W	4932.YPL106C
4932.YCL024W	4932.YGL259W
4932.YKR057W	4932.YLR009W
4932.YDR025W	4932.YJR094W-A
4932.YOR234C	4932.YPR132W
4932.YDR041W	4932.YLR075W
4932.YBR079C	4932.YOR369C
4932.YAL041W	4932.YER118C
4932.YDL201W	4932.YHR218W-A
4932.YBR276C	4932.YMR036C
4932.YMR229C	4932.YOR369C
4932.YJR145C	4932.YMR188C
4932.YGL076C	4932.YPR166C
4932.YGR209C	4932.YML110C
4932.YBR264C	4932.YGL210W
4932.YJL034W	4932.YMR170C
4932.YLR147C	4932.YPL064C
4932.YAL029C	4932.YBR164C
4932.YBR214W	4932.YCL024W
4932.YMR137C	4932.YOR116C
4932.YJL189W	4932.YLR325C
4932.YGL254W	4932.YLR107W
4932.YPL043W	4932.YPR112C
4932.YGL106W	4932.YJL057C
4932.YBR044C	4932.YOR288C
4932.YDL042C	4932.YNR023W
4932.YJR121W	4932.YPL078C
4932.YLR096W	4932.YMR001C
4932.YBR181C	4932.YOL139C
4932.YJR063W	4932.YOR151C
4932.YDR496C	4932.YLR150W
4932.YCR012W	4932.YKL060C
4932.YCR046C	4932.YLR069C
4932.YLL039C	4932.YNL081C
4932.YDL058W	4932.YPR165W
4932.YDR337W	4932.YHR148W
4932.YHL007C	4932.YMR291W
4932.YBL111C	4932.YLR369W
4932.YLR305C	4932.YOL078W
4932.YER016W	4932.YHR023W
4932.YLR325C	4932.YNL067W
4932.YPL047W	4932.YPL254W
4932.YJR022W	4932.YOL005C
4932.YDL075W	4932.YNL185C
4932.YDR394W	4932.YLR362W
4932.YBR023C	4932.YPL026C
4932.YDL240W	4932.YNL298W
4932.YGR091W	4932.YOR133W
4932.YGR083C	4932.YKR026C
4932.YDR432W	4932.YHR165C
4932.YBR229C	4932.YDL048C
4932.YBR031W	4932.YLR167W
4932.YGL137W	4932.YGR167W
4932.YFL021W	4932.YPL150W
4932.YBR028C	4932.YLR357W
4932.YOR101W	4932.YOR384W
4932.YLL015W	4932.YLR399C
4932.YCR042C	4932.YPR086W
4932.YDR043C	4932.YDR075W
4932.YNL301C	4932.YPL081W
4932.YAL035W	4932.YNR036C
4932.YPL141C	4932.YPL242C
4932.YDL140C	4932.YJL168C
4932.YDL079C	4932.YOR358W
4932.YDR280W	4932.YPR189W
4932.YJL204C	4932.YPR165W
4932.YDR139C	4932.YPL178W
4932.YLL001W	4932.YLR371W
4932.YBR082C	4932.YJL056C
4932.YDR146C	4932.YGL216W
4932.YLR424W	4932.YMR128W
4932.YJR005W	4932.YLL038C
4932.YKL171W	4932.YPL256C
4932.YBR164C	4932.YDR146C
4932.YGL147C	4932.YNL306W
4932.YEL054C	4932.YML063W
4932.YMR033W	4932.YPR018W
4932.YBR264C	4932.YMR055C
4932.YMR146C	4932.YOL139C
4932.YHR086W	4932.YOR319W
4932.YGR033C	4932.YPL063W
4932.YDL136W	4932.YER074W
4932.YIL036W	4932.YLR229C
4932.YDR238C	4932.YGR052W
4932.YCL024W	4932.YML027W
4932.YMR008C	4932.YNL307C
4932.YGL135W	4932.YGL189C
4932.YDL006W	4932.YFL029C
4932.YFR052W	4932.YPL239W
4932.YLR115W	4932.YLR240W
4932.YMR158W	4932.YPL183W-A
4932.YDR059C	4932.YHR119W
4932.YIR006C	4932.YLL001W
4932.YGL123W	4932.YHR021C
4932.YER031C	4932.YOR134W
4932.YJR036C	4932.YNL021W
4932.YFL008W	4932.YLR007W
4932.YAL021C	4932.YCR020C-A
4932.YLR069C	4932.YOR150W
4932.YER117W	4932.YKR059W
4932.YDL108W	4932.YDR145W
4932.YGL123W	4932.YPL183W-A
4932.YIL018W	4932.YLR075W
4932.YLR357W	4932.YMR139W
4932.YAL040C	4932.YMR001C
4932.YDR153C	4932.YOL111C
4932.YDL064W	4932.YGL100W
4932.YGL035C	4932.YJL112W
4932.YLR113W	4932.YOR101W
4932.YJL005W	4932.YOR373W
4932.YFR019W	4932.YOR281C
4932.YDL126C	4932.YOR045W
4932.YDL084W	4932.YER103W
4932.YHL015W	4932.YPL198W
4932.YBL112C	4932.YPL031C
4932.YGL254W	4932.YJL081C
4932.YLL024C	4932.YOR391C
4932.YGL049C	4932.YJR066W
4932.YDR016C	4932.YDR318W
4932.YDR025W	4932.YKR094C
4932.YBR164C	4932.YLR422W
4932.YFL008W	4932.YOL115W
4932.YGR027C	4932.YGR034W
4932.YHR161C	4932.YNL243W
4932.YLR009W	4932.YLR333C
4932.YOR226C	4932.YPL135W
4932.YIL036W	4932.YNL090W
4932.YHL033C	4932.YNL147W
4932.YBR087W	4932.YOR368W
4932.YDL083C	4932.YDR545W
4932.YIL035C	4932.YNL027W
4932.YMR296C	4932.YOR304W
4932.YHL007C	4932.YLR362W
4932.YER105C	4932.YIL149C
4932.YIL126W	4932.YOR233W
4932.YDL126C	4932.YDR075W
4932.YHL033C	4932.YMR093W
4932.YKL198C	4932.YKR090W
4932.YLR333C	4932.YLR344W
4932.YBR088C	4932.YGR270W
4932.YBR219C	4932.YNL045W
4932.YAL030W	4932.YLR229C
4932.YBR084W	4932.YCL043C
4932.YEL037C	4932.YJL033W
4932.YAL005C	4932.YDL079C
4932.YBR081C	4932.YGR052W
4932.YMR048W	4932.YOL154W
4932.YGL190C	4932.YMR104C
4932.YKL078W	4932.YPR010C
4932.YBL063W	4932.YOL069W
4932.YEL026W	4932.YLR009W
4932.YHR099W	4932.YOR244W
4932.YDR164C	4932.YGR028W
4932.YEL050C	4932.YGL135W
4932.YDR139C	4932.YER190W
4932.YDR212W	4932.YER103W
4932.YLR388W	4932.YOL040C
4932.YIL133C	4932.YLR281C
4932.YML004C	4932.YNL229C
4932.YER130C	4932.YKL079W
4932.YDR235W	4932.YNL027W
4932.YHR047C	4932.YNL098C
4932.YLL066C	4932.YLR116W
4932.YCL004W	4932.YKL171W
4932.YCR065W	4932.YDR043C
4932.YEL061C	4932.YKL079W
4932.YJR101W	4932.YPR054W
4932.YGL031C	4932.YJR113C
4932.YDR075W	4932.YPL089C
4932.YGR233C	4932.YOR353C
4932.YAL035W	4932.YOR369C
4932.YGR209C	4932.YOL111C
4932.YKL062W	4932.YOR373W
4932.YDL166C	4932.YOR210W
4932.YGR135W	4932.YOR259C
4932.YFR031C	4932.YLR272C
4932.YHL001W	4932.YPR102C
4932.YDR293C	4932.YDR519W
4932.YDR174W	4932.YOR351C
4932.YGL147C	4932.YLR333C
4932.YJR113C	4932.YPR132W
4932.YMR188C	4932.YNL122C
4932.YIL144W	4932.YPL155C
4932.YKL009W	4932.YOR150W
4932.YDR075W	4932.YOL016C
4932.YER028C	4932.YMR276W
4932.YHR082C	4932.YKL203C
4932.YFR021W	4932.YPL149W
4932.YDR447C	4932.YLR325C
4932.YER031C	4932.YOR211C
4932.YKR055W	4932.YOR141C
4932.YML063W	4932.YOR369C
4932.YBL112C	4932.YKL171W
4932.YLR043C	4932.YPL064C
4932.YDL081C	4932.YPL198W
4932.YLR113W	4932.YML121W
4932.YPL106C	4932.YPR110C
4932.YLR034C	4932.YPR186C
4932.YLR185W	4932.YNL162W
4932.YML121W	4932.YMR068W
4932.YCR065W	4932.YDR146C
4932.YBL026W	4932.YKL173W
4932.YGL031C	4932.YGL049C
4932.YNL128W	4932.YPL213W
4932.YJL128C	4932.YPL230W
4932.YNL167C	4932.YPR052C
4932.YMR304W	4932.YOR224C
4932.YER028C	4932.YPR048W
4932.YEL037C	4932.YGL048C
4932.YDR116C	4932.YLL045C
4932.YNL252C	4932.YOR150W
4932.YDL075W	4932.YLR325C
4932.YHR079C	4932.YHR206W
4932.YIL042C	4932.YLR006C
4932.YCR027C	4932.YOR231W
4932.YDR385W	4932.YLR075W
4932.YGL049C	4932.YNL005C
4932.YDR146C	4932.YML027W
4932.YIL118W	4932.YOL101C
4932.YGL076C	4932.YMR229C
4932.YAL001C	4932.YPR186C
4932.YDR258C	4932.YGL136C
4932.YOR101W	4932.YOR233W
4932.YDR178W	4932.YKL141W
4932.YMR037C	4932.YPR086W
4932.YIL112W	4932.YNL167C
4932.YBL054W	4932.YGL131C
4932.YGR232W	4932.YOR353C
4932.YGL245W	4932.YOR004W
4932.YGR090W	4932.YOR063W
4932.YDR012W	4932.YML024W
4932.YGL058W	4932.YHR099W
4932.YBL072C	4932.YKR094C
4932.YDR339C	4932.YHR065C
4932.YBR188C	4932.YPL151C
4932.YKL092C	4932.YOL065C
4932.YDL030W	4932.YIL061C
4932.YER165W	4932.YGR214W
4932.YIL177C	4932.YPL178W
4932.YDR155C	4932.YPL116W
4932.YPL122C	4932.YPR187W
4932.YBR044C	4932.YDR247W
4932.YGL035C	4932.YJL005W
4932.YLR044C	4932.YML031W
4932.YKL193C	4932.YOR113W
4932.YNL147W	4932.YOR224C
4932.YDL075W	4932.YMR230W
4932.YML009C	4932.YNL177C
4932.YLR113W	4932.YLR335W
4932.YBR136W	4932.YER095W
4932.YJR065C	4932.YKL212W
4932.YNL312W	4932.YOR033C
4932.YCR020C-A	4932.YFR005C
4932.YER028C	4932.YHR079C
4932.YGL173C	4932.YLR438C-A
4932.YGR052W	4932.YJR066W
4932.YBL038W	4932.YPL220W
4932.YKR101W	4932.YPR018W
4932.YGR192C	4932.YNL307C
4932.YHR102W	4932.YNL307C
4932.YDR096W	4932.YJL112W
4932.YGR100W	4932.YNL098C
4932.YDR337W	4932.YLL066C
4932.YBR055C	4932.YLR424W
4932.YDL136W	4932.YLR333C
4932.YGR274C	4932.YPL216W
4932.YKL079W	4932.YPL239W
4932.YGL209W	4932.YGR123C
4932.YBR182C	4932.YPR013C
4932.YDR418W	4932.YJR094W-A
4932.YPL213W	4932.YPL239W
4932.YBR164C	4932.YER031C
4932.YKL198C	4932.YML064C
4932.YPL015C	4932.YPR104C
4932.YBR251W	4932.YLR167W
4932.YBL097W	4932.YPL209C
4932.YBL003C	4932.YPR068C
4932.YDL159W	4932.YPL069C
4932.YDL137W	4932.YPL230W
4932.YDR390C	4932.YEL037C
4932.YDR424C	4932.YPR048W
4932.YER146W	4932.YKL193C
4932.YDL191W	4932.YGR148C
4932.YCR065W	4932.YIL113W
4932.YOL004W	4932.YPR068C
4932.YBR084C-A	4932.YMR276W
4932.YBR208C	4932.YDR122W
4932.YBR212W	4932.YDR364C
4932.YLR182W	4932.YMR144W
4932.YGL242C	4932.YPL021W
4932.YEL037C	4932.YJR127C
4932.YHL004W	4932.YMR230W
4932.YER075C	4932.YML064C
4932.YJR009C	4932.YNL069C
4932.YLL034C	4932.YLR377C
4932.YBR112C	4932.YER174C
4932.YOR063W	4932.YPL081W
4932.YJL141C	4932.YMR139W
4932.YIL148W	4932.YML073C
4932.YLR344W	4932.YNL301C
4932.YFL008W	4932.YNR032W
4932.YEL037C	4932.YPL143W
4932.YDR247W	4932.YOL011W
4932.YHR203C	4932.YOR133W
4932.YDR510W	4932.YLR131C
4932.YDL079C	4932.YJR045C
4932.YBL016W	4932.YPR200C
4932.YDR177W	4932.YPL022W
4932.YFL038C	4932.YOL112W
4932.YCR051W	4932.YDL007W
4932.YBR082C	4932.YHL027W
4932.YAL040C	4932.YDR191W
