>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.seqs.tsv
>/home/user1/code/PPIKG/method/AFTGAN/data/SYS60k.txt
4932.YFR030W	4932.YHL027W
4932.YLR043C	4932.YOR347C
4932.YER172C	4932.YPR101W
4932.YNL261W	4932.YPL031C
4932.YDL064W	4932.YGR109C
4932.YDR146C	4932.YGR108W
4932.YGL189C	4932.YLL039C
4932.YCL034W	4932.YMR276W
4932.YAL002W	4932.YDR495C
4932.YDL079C	4932.YOR347C
4932.YIL033C	4932.YPL203W
4932.YFR032C-A	4932.YMR121C
4932.YDR394W	4932.YJL095W
4932.YOR063W	4932.YOR096W
4932.YMR213W	4932.YMR240C
4932.YGL254W	4932.YMR033W
4932.YEL077C	4932.YGR091W
4932.YAL019W	4932.YKL203C
4932.YER164W	4932.YPR068C
4932.YDR097C	4932.YEL009C
4932.YEL061C	4932.YMR037C
4932.YCL011C	4932.YHR167W
4932.YMR227C	4932.YOL005C
4932.YGR005C	4932.YGR074W
4932.YFR015C	4932.YIL045W
4932.YGL058W	4932.YJR032W
4932.YKL017C	4932.YOR396W
4932.YKL012W	4932.YOR341W
4932.YBR084C-A	4932.YLR406C
4932.YOR113W	4932.YPL204W
4932.YAR019C	4932.YBR164C
4932.YGL254W	4932.YNL068C
4932.YDR261C-C	4932.YGR027W-A
4932.YDR064W	4932.YNL002C
4932.YGR274C	4932.YOL005C
4932.YNL183C	4932.YOR144C
4932.YDR507C	4932.YHR107C
4932.YDL130W	4932.YLR048W
4932.YFR019W	4932.YML124C
4932.YMR042W	4932.YOL162W
4932.YLR291C	4932.YPL237W
4932.YHR030C	4932.YNL175C
4932.YDR510W	4932.YNL021W
4932.YDL061C	4932.YPR080W
4932.YGR258C	4932.YPL082C
4932.YDR388W	4932.YHL032C
4932.YER179W	4932.YGR052W
4932.YDR098C	4932.YNR028W
4932.YHR218W	4932.YPL131W
4932.YGR091W	4932.YOR369C
4932.YHL015W	4932.YHR148W
4932.YDL047W	4932.YGL158W
4932.YFL039C	4932.YNL108C
4932.YDL055C	4932.YOR257W
4932.YHL004W	4932.YKR094C
4932.YDL130W	4932.YHL033C
4932.YBR160W	4932.YER075C
4932.YDR381W	4932.YDR398W
4932.YHR164C	4932.YPL235W
4932.YPR100W	4932.YPR132W
4932.YBR202W	4932.YER172C
4932.YDR385W	4932.YLL036C
4932.YDL047W	4932.YDR216W
4932.YLL050C	4932.YPL141C
4932.YDL075W	4932.YDR237W
4932.YDR385W	4932.YEL026W
4932.YBL072C	4932.YMR276W
4932.YIL126W	4932.YOL004W
4932.YER130C	4932.YOL111C
4932.YBR181C	4932.YPL081W
4932.YDR224C	4932.YDR397C
4932.YOR233W	4932.YOR358W
4932.YLR048W	4932.YML063W
4932.YBR082C	4932.YBR125C
4932.YLR009W	4932.YMR143W
4932.YER102W	4932.YMR286W
4932.YBR233W	4932.YPR054W
4932.YBR026C	4932.YPL125W
4932.YNL307C	4932.YOL111C
4932.YLR189C	4932.YLR229C
4932.YGR056W	4932.YPR186C
4932.YDR121W	4932.YDR176W
4932.YJR145C	4932.YNL306W
4932.YBR103W	4932.YER098W
4932.YDL132W	4932.YPR178W
4932.YDR264C	4932.YGL058W
4932.YDL061C	4932.YML025C
4932.YCR079W	4932.YDR177W
4932.YMR192W	4932.YOR101W
4932.YNL097C	4932.YOL004W
4932.YDL137W	4932.YER103W
4932.YLR305C	4932.YOL139C
4932.YHR128W	4932.YLL039C
4932.YGL076C	4932.YLR367W
4932.YGL160W	4932.YLR229C
4932.YCR045C	4932.YGL242C
4932.YLR069C	4932.YMR214W
4932.YDR130C	4932.YFR003C
4932.YHR164C	4932.YJL225C
4932.YHR084W	4932.YNR047W
4932.YAR014C	4932.YER155C
4932.YGR203W	4932.YHR205W
4932.YOL127W	4932.YPR102C
4932.YDL229W	4932.YDR518W
4932.YEL037C	4932.YGR003W
4932.YHL004W	4932.YOR369C
4932.YDL061C	4932.YMR142C
4932.YDR432W	4932.YOR353C
4932.YDL048C	4932.YHR099W
4932.YER025W	4932.YMR146C
4932.YBL090W	4932.YDR337W
4932.YIR026C	4932.YNL068C
4932.YBR236C	4932.YDR404C
4932.YKR008W	4932.YPL021W
4932.YNL039W	4932.YPR086W
4932.YBR060C	4932.YGL201C
4932.YBR189W	4932.YKL009W
4932.YBR146W	4932.YGR220C
4932.YJL056C	4932.YOR061W
4932.YER171W	4932.YMR167W
4932.YBR028C	4932.YDL047W
4932.YIL164C	4932.YMR293C
4932.YBR169C	4932.YDL143W
4932.YCR027C	4932.YOR353C
4932.YLR305C	4932.YOR061W
4932.YGL049C	4932.YPL081W
4932.YDR207C	4932.YOR279C
4932.YHR010W	4932.YJL190C
4932.YBR181C	4932.YGL147C
4932.YER176W	4932.YOL128C
4932.YMR042W	4932.YOR351C
4932.YGL208W	4932.YGR155W
4932.YDR263C	4932.YER179W
4932.YBR136W	4932.YPL141C
4932.YDR253C	4932.YPL141C
4932.YFR014C	4932.YKR055W
4932.YHR218W	4932.YJR007W
4932.YIL005W	4932.YLR362W
4932.YGL216W	4932.YNL287W
4932.YDR167W	4932.YHR090C
4932.YDR064W	4932.YIL038C
4932.YER019C-A	4932.YHR021C
4932.YHR075C	4932.YNL071W
4932.YDL130W	4932.YOR096W
4932.YMR033W	4932.YNL053W
4932.YNL112W	4932.YPL198W
4932.YDR468C	4932.YER047C
4932.YER112W	4932.YGL043W
4932.YDR002W	4932.YFR053C
4932.YDL064W	4932.YNL307C
4932.YER028C	4932.YHR090C
4932.YNL093W	4932.YNL307C
4932.YJL127C	4932.YNL030W
4932.YBR073W	4932.YKL113C
4932.YLR268W	4932.YPL249C
4932.YDR099W	4932.YHR099W
4932.YDL018C	4932.YGL002W
4932.YKR001C	4932.YOL072W
4932.YDL083C	4932.YGL129C
4932.YGL043W	4932.YKL028W
4932.YDR419W	4932.YMR276W
4932.YDL130W	4932.YDL202W
4932.YBL038W	4932.YDR337W
4932.YHR165C	4932.YOR373W
4932.YLR102C	4932.YPR119W
4932.YBR082C	4932.YPR180W
4932.YLR096W	4932.YPL031C
4932.YER165W	4932.YNL175C
4932.YGL194C	4932.YLR131C
4932.YLL039C	4932.YOR210W
4932.YMR125W	4932.YOL121C
4932.YIL069C	4932.YOL139C
4932.YER133W	4932.YHR079C
4932.YDL147W	4932.YIL112W
4932.YKL156W	4932.YLR441C
4932.YLR180W	4932.YPR015C
4932.YDR322C-A	4932.YJR121W
4932.YMR242C	4932.YNL178W
4932.YGL066W	4932.YKL203C
4932.YJL111W	4932.YOR141C
4932.YLR264W	4932.YLR367W
4932.YDR477W	4932.YGL106W
4932.YOL121C	4932.YOL139C
4932.YDL070W	4932.YGL131C
4932.YDL048C	4932.YGR092W
4932.YGL187C	4932.YHR051W
4932.YBL112C	4932.YPL150W
4932.YJL137C	4932.YPR034W
4932.YGL086W	4932.YNL330C
4932.YCL010C	4932.YER164W
4932.YDR025W	4932.YPL013C
4932.YDR097C	4932.YLL001W
4932.YEL054C	4932.YML026C
4932.YBR082C	4932.YGL209W
4932.YBR164C	4932.YPR054W
4932.YBR066C	4932.YIL126W
4932.YJR066W	4932.YNL098C
4932.YBL003C	4932.YGL035C
4932.YDR358W	4932.YGL210W
4932.YAL040C	4932.YBL088C
4932.YKR083C	4932.YOL069W
4932.YNL185C	4932.YOR369C
4932.YER111C	4932.YFR052W
4932.YOL127W	4932.YPR043W
4932.YLR333C	4932.YOR293W
4932.YBR220C	4932.YLR268W
4932.YGL123W	4932.YOL040C
4932.YCR051W	4932.YMR139W
4932.YER032W	4932.YOR136W
4932.YCR046C	4932.YCR071C
4932.YDR545W	4932.YNR011C
4932.YHR082C	4932.YKL190W
4932.YDR217C	4932.YMR137C
4932.YJL056C	4932.YNL167C
4932.YGL254W	4932.YOR039W
4932.YHR148W	4932.YOR293W
4932.YDR021W	4932.YPR102C
4932.YLR061W	4932.YNL096C
4932.YBR081C	4932.YOL068C
4932.YAL005C	4932.YCR083W
4932.YHL001W	4932.YPR166C
4932.YIL021W	4932.YPR025C
4932.YCR065W	4932.YPL209C
4932.YBR212W	4932.YCR063W
4932.YNL284C-A	4932.YOR142W-A
4932.YDL229W	4932.YKL009W
4932.YHL004W	4932.YML133C
4932.YDR206W	4932.YGR072W
4932.YBR043C	4932.YPL116W
4932.YJL111W	4932.YNL328C
4932.YBR087W	4932.YLR234W
4932.YLR305C	4932.YPL015C
4932.YBL063W	4932.YGL254W
4932.YOL013C	4932.YPL074W
4932.YER111C	4932.YPR186C
4932.YIL131C	4932.YMR199W
4932.YKL126W	4932.YMR037C
4932.YER031C	4932.YKL161C
4932.YER133W	4932.YHR082C
4932.YCR031C	4932.YEL026W
4932.YNL081C	4932.YOR361C
4932.YHR007C	4932.YJL005W
4932.YIL075C	4932.YMR036C
4932.YFL029C	4932.YKL203C
4932.YHL004W	4932.YIL078W
4932.YGL106W	4932.YPL026C
4932.YBL041W	4932.YFR050C
4932.YEL054C	4932.YMR230W
4932.YNL128W	4932.YOR391C
4932.YBR164C	4932.YCR084C
4932.YDR139C	4932.YOL054W
4932.YFL029C	4932.YKL166C
4932.YHR099W	4932.YMR048W
4932.YDR264C	4932.YLR369W
4932.YAR042W	4932.YER095W
4932.YOL139C	4932.YOR293W
4932.YLR344W	4932.YNL302C
4932.YEL044W	4932.YLR399C
4932.YBR160W	4932.YDR460W
4932.YGR095C	4932.YHR148W
4932.YMR036C	4932.YNL175C
4932.YDL048C	4932.YOR101W
4932.YCL004W	4932.YDL192W
4932.YGL049C	4932.YIL133C
4932.YDR243C	4932.YHR156C
4932.YLR442C	4932.YPR162C
4932.YDR392W	4932.YGR252W
4932.YDL229W	4932.YGL213C
4932.YDL130W	4932.YHR010W
4932.YDL178W	4932.YIL124W
4932.YHL001W	4932.YMR276W
4932.YNL298W	4932.YOR231W
4932.YAL024C	4932.YHR082C
4932.YLR441C	4932.YMR194W
4932.YEL061C	4932.YMR241W
4932.YHR102W	4932.YPL240C
4932.YER019C-A	4932.YJR094W-A
4932.YHR084W	4932.YKL198C
4932.YER110C	4932.YMR183C
4932.YCR079W	4932.YDR054C
4932.YHR193C	4932.YNL247W
4932.YBL002W	4932.YDR167W
4932.YPL203W	4932.YPL209C
4932.YER025W	4932.YML024W
4932.YDL007W	4932.YDL064W
4932.YBR062C	4932.YGL097W
4932.YBR010W	4932.YJR059W
4932.YLR009W	4932.YLR406C
4932.YBL084C	4932.YMR214W
4932.YJR077C	4932.YMR124W
4932.YGR052W	4932.YJR040W
4932.YKL196C	4932.YLL055W
4932.YBR251W	4932.YJL136C
4932.YBR110W	4932.YOR178C
4932.YGR233C	4932.YLR167W
4932.YKL009W	4932.YOR150W
4932.YCL008C	4932.YFR022W
4932.YBR233W-A	4932.YIL144W
4932.YOL100W	4932.YPR165W
4932.YER075C	4932.YMR104C
4932.YHR082C	4932.YNR035C
4932.YDL216C	4932.YPR119W
4932.YBR044C	4932.YPL023C
4932.YEL026W	4932.YIL021W
4932.YDR394W	4932.YFR023W
4932.YLR344W	4932.YOR293W
4932.YIL104C	4932.YMR239C
4932.YDR122W	4932.YPR188C
4932.YEL012W	4932.YLL039C
4932.YDR026C	4932.YFL021W
4932.YLR061W	4932.YLR367W
4932.YBR189W	4932.YLR185W
4932.YHR205W	4932.YLR240W
4932.YAL029C	4932.YBR200W
4932.YDL174C	4932.YNL052W
4932.YER177W	4932.YLR178C
4932.YBR143C	4932.YLR325C
4932.YBR109C	4932.YDR264C
4932.YDL082W	4932.YLR029C
4932.YEL037C	4932.YML097C
4932.YDR247W	4932.YJL130C
4932.YIL001W	4932.YKL203C
4932.YJR051W	4932.YKL171W
4932.YAL005C	4932.YPR204W
4932.YHR129C	4932.YOR233W
4932.YPL026C	4932.YPR119W
4932.YBL050W	4932.YIL144W
4932.YEL039C	4932.YPR037C
4932.YER074W	4932.YNL002C
4932.YFL009W	4932.YIR013C
4932.YBR149W	4932.YPL088W
4932.YBL052C	4932.YLL039C
4932.YGR118W	4932.YMR146C
4932.YDL029W	4932.YML081W
4932.YDR012W	4932.YER131W
4932.YER017C	4932.YMR186W
4932.YIL045W	4932.YOR233W
4932.YGR138C	4932.YPL089C
4932.YBR082C	4932.YLR182W
4932.YBR107C	4932.YLR381W
4932.YGR005C	4932.YPR086W
4932.YNL088W	4932.YOL021C
4932.YNL030W	4932.YPL209C
4932.YDL136W	4932.YPL183W-A
4932.YBL112C	4932.YNR011C
4932.YLR357W	4932.YNL330C
4932.YDL029W	4932.YJL014W
4932.YDL134C	4932.YPL213W
4932.YBR247C	4932.YNL178W
4932.YFL009W	4932.YMR068W
4932.YBL075C	4932.YBR059C
4932.YBR073W	4932.YHR206W
4932.YLR277C	4932.YMR284W
4932.YHL004W	4932.YHL014C
4932.YOR014W	4932.YOR107W
4932.YLR185W	4932.YOR133W
4932.YGR052W	4932.YPR054W
4932.YDL079C	4932.YGL210W
4932.YKR059W	4932.YPR163C
4932.YHR082C	4932.YIL177C
4932.YBR014C	4932.YJL026W
4932.YDR225W	4932.YMR190C
4932.YOR003W	4932.YPL213W
4932.YGL123W	4932.YIL133C
4932.YMR033W	4932.YNL298W
4932.YAR073W	4932.YER031C
4932.YKR090W	4932.YPL026C
4932.YGL106W	4932.YHR082C
4932.YDL208W	4932.YJL050W
4932.YHR030C	4932.YHR082C
4932.YKR059W	4932.YNL175C
4932.YER074W	4932.YOL039W
4932.YBR072W	4932.YJL047C
4932.YOL039W	4932.YPL079W
4932.YJR101W	4932.YNL068C
4932.YGL105W	4932.YHR019C
4932.YDL070W	4932.YDR264C
4932.YCR003W	4932.YOL040C
4932.YBL026W	4932.YOL005C
4932.YHR128W	4932.YOR373W
4932.YML081W	4932.YMR072W
4932.YEL026W	4932.YPL220W
4932.YJR064W	4932.YOR020C
4932.YDL007W	4932.YOR396W
4932.YGR233C	4932.YKL190W
4932.YEL054C	4932.YIL069C
4932.YER117W	4932.YLR185W
4932.YER028C	4932.YER133W
4932.YNL204C	4932.YPL176C
4932.YGR252W	4932.YHL035C
4932.YBL063W	4932.YHL027W
4932.YLR075W	4932.YNL265C
4932.YIL052C	4932.YLR344W
4932.YFL024C	4932.YNL107W
4932.YDL056W	4932.YOR113W
4932.YCR051W	4932.YKL126W
4932.YBR223C	4932.YGL082W
4932.YLL048C	4932.YPL203W
4932.YHR148W	4932.YNL178W
4932.YDL161W	4932.YNL243W
4932.YML025C	4932.YMR158W
4932.YLR226W	4932.YNL289W
4932.YJL102W	4932.YKR099W
4932.YLR113W	4932.YLR138W
4932.YBR245C	4932.YPL230W
4932.YOL133W	4932.YOR339C
4932.YAL021C	4932.YGL097W
4932.YER031C	4932.YPL242C
4932.YKL198C	4932.YMR276W
4932.YBR155W	4932.YDL190C
4932.YAL016W	4932.YDR432W
4932.YLR229C	4932.YNL326C
4932.YBR189W	4932.YHR147C
4932.YJR132W	4932.YPR013C
4932.YGL231C	4932.YLL014W
4932.YNL071W	4932.YPL262W
4932.YIL044C	4932.YOL128C
4932.YIL018W	4932.YPR204W
4932.YBL103C	4932.YOL108C
4932.YER102W	4932.YLR048W
4932.YGL031C	4932.YGL103W
4932.YJL157C	4932.YMR205C
4932.YAR019C	4932.YNR032W
4932.YGR005C	4932.YML010W
4932.YDR139C	4932.YER162C
4932.YDR266C	4932.YGR108W
4932.YHR218W-A	4932.YPL237W
4932.YKL156W	4932.YNL301C
4932.YLR406C	4932.YNL178W
4932.YCL024W	4932.YIL002C
4932.YGL209W	4932.YIL126W
4932.YGL120C	4932.YKL079W
4932.YDL079C	4932.YMR213W
4932.YBR182C	4932.YNL068C
4932.YER169W	4932.YKL161C
4932.YGL031C	4932.YLL045C
4932.YBR066C	4932.YLR310C
4932.YDR310C	4932.YHR124W
4932.YGR118W	4932.YLL039C
4932.YGL086W	4932.YJL176C
4932.YDR163W	4932.YDR416W
4932.YHR077C	4932.YKR057W
4932.YBR066C	4932.YCL024W
4932.YDR519W	4932.YER133W
4932.YLR072W	4932.YOR141C
4932.YFR005C	4932.YJL203W
4932.YBR189W	4932.YDL208W
4932.YGR214W	4932.YLL066C
4932.YBR220C	4932.YNL330C
4932.YNL154C	4932.YOR233W
4932.YDR049W	4932.YOL139C
4932.YMR286W	4932.YNL069C
4932.YDL140C	4932.YIL061C
4932.YDR155C	4932.YOR207C
4932.YGL135W	4932.YLR061W
4932.YLR234W	4932.YLR305C
4932.YHR066W	4932.YPL220W
4932.YMR043W	4932.YMR136W
4932.YHR214C-C	4932.YOR343W-B
4932.YAL043C	4932.YMR061W
4932.YDL192W	4932.YGR260W
4932.YKL049C	4932.YOL034W
4932.YBR179C	4932.YKL067W
4932.YDR064W	4932.YLR264W
4932.YBL038W	4932.YCR003W
4932.YDR545W	4932.YLR197W
4932.YBL016W	4932.YGL106W
4932.YJL052W	4932.YOR150W
4932.YKL062W	4932.YPL116W
4932.YDL070W	4932.YFR016C
4932.YLR367W	4932.YLR378C
4932.YDR432W	4932.YDR473C
4932.YKL166C	4932.YPL122C
4932.YJL105W	4932.YLR013W
4932.YBL026W	4932.YJL140W
4932.YLL024C	4932.YOL123W
4932.YCR063W	4932.YMR240C
4932.YGL097W	4932.YLR335W
4932.YGR252W	4932.YMR042W
4932.YMR125W	4932.YOR276W
4932.YDL171C	4932.YPL116W
4932.YDL048C	4932.YGL094C
4932.YDR287W	4932.YHR215W
4932.YBL018C	4932.YHR041C
4932.YBR073W	4932.YMR127C
4932.YML026C	4932.YNL177C
4932.YDL191W	4932.YOR234C
4932.YNL135C	4932.YPL240C
4932.YHR007C	4932.YNL068C
4932.YLR093C	4932.YMR017W
4932.YDL048C	4932.YNL307C
4932.YHR203C	4932.YOR261C
4932.YGR080W	4932.YMR033W
4932.YIL035C	4932.YPL240C
4932.YDL209C	4932.YKL012W
4932.YGR250C	4932.YPL054W
4932.YKL058W	4932.YOL005C
4932.YGR281W	4932.YMR301C
4932.YAL017W	4932.YDL229W
4932.YJL140W	4932.YMR201C
4932.YIL005W	4932.YJR045C
4932.YDR411C	4932.YLL034C
4932.YIL118W	4932.YKR014C
4932.YDL208W	4932.YGL120C
4932.YBL016W	4932.YOR101W
4932.YCR059C	4932.YDL216C
4932.YIL112W	4932.YLR043C
4932.YDR139C	4932.YNL002C
4932.YDR518W	4932.YPL064C
4932.YGR027C	4932.YPR080W
4932.YGR048W	4932.YLL039C
4932.YER111C	4932.YJL164C
4932.YDL134C	4932.YOR195W
4932.YER111C	4932.YIL046W
4932.YLR013W	4932.YOL152W
4932.YGL207W	4932.YOR061W
4932.YDL188C	4932.YER089C
4932.YHR047C	4932.YHR121W
4932.YLR045C	4932.YML124C
4932.YDR054C	4932.YMR022W
4932.YOL005C	4932.YPL155C
4932.YGL209W	4932.YGR252W
4932.YDR443C	4932.YER022W
4932.YNL077W	4932.YOR007C
4932.YDR210C-C	4932.YGR109W-A
4932.YAL035W	4932.YOR234C
4932.YBR080C	4932.YMR199W
4932.YBR087W	4932.YER111C
4932.YDL126C	4932.YLL039C
4932.YGL017W	4932.YLR187W
4932.YDL214C	4932.YER173W
4932.YDL208W	4932.YPL143W
4932.YMR152W	4932.YOR120W
4932.YHR129C	4932.YKR090W
4932.YJR145C	4932.YKL156W
4932.YCR065W	4932.YMR304W
4932.YNL027W	4932.YPR141C
4932.YHR099W	4932.YLR340W
4932.YJL074C	4932.YMR001C
4932.YDR382W	4932.YEL026W
4932.YCR031C	4932.YLL039C
4932.YEL061C	4932.YML081W
4932.YML049C	4932.YOR304W
4932.YLL045C	4932.YLR367W
4932.YDR194C	4932.YER176W
4932.YDL191W	4932.YHL015W
4932.YDR059C	4932.YJL005W
4932.YBR055C	4932.YPR152C
4932.YGR161W-A	4932.YNL054W-A
4932.YDR004W	4932.YMR139W
4932.YDR224C	4932.YOR174W
4932.YIR026C	4932.YKL190W
4932.YBL092W	4932.YIL069C
4932.YHR086W	4932.YNL284C
4932.YCL068C	4932.YKL126W
4932.YBR136W	4932.YOR260W
4932.YJL132W	4932.YPL140C
4932.YBR006W	4932.YGL256W
4932.YDL136W	4932.YPL143W
4932.YER123W	4932.YNL068C
4932.YDR496C	4932.YGL076C
4932.YMR099C	4932.YPL231W
4932.YIL121W	4932.YPL116W
4932.YER129W	4932.YGL158W
4932.YER119C	4932.YMR199W
4932.YIR026C	4932.YNL304W
4932.YBL002W	4932.YHR207C
4932.YGR123C	4932.YMR043W
4932.YML078W	4932.YOL133W
4932.YPL026C	4932.YPL239W
4932.YER111C	4932.YLR113W
4932.YBR039W	4932.YPL271W
4932.YKL194C	4932.YOL114C
4932.YGL191W	4932.YMR256C
4932.YPL150W	4932.YPL242C
4932.YGR284C	4932.YLR268W
4932.YMR022W	4932.YOL054W
4932.YNL096C	4932.YPL079W
4932.YCL024W	4932.YOR267C
4932.YDR398W	4932.YMR229C
4932.YLL039C	4932.YOL038W
4932.YLL039C	4932.YPR186C
4932.YER050C	4932.YGL076C
4932.YBR283C	4932.YGL103W
4932.YAL016W	4932.YGR015C
4932.YGL129C	4932.YPR132W
4932.YLR418C	4932.YML010W
4932.YBL092W	4932.YPR080W
4932.YCR018C	4932.YHR206W
4932.YEL026W	4932.YLR344W
4932.YGL134W	4932.YML112W
4932.YMR090W	4932.YPL091W
4932.YDR115W	4932.YLR439W
4932.YBL038W	4932.YLL039C
4932.YLL050C	4932.YOL128C
4932.YHR086W	4932.YMR216C
4932.YGL226W	4932.YIL111W
4932.YML064C	4932.YOL112W
4932.YOR233W	4932.YPR022C
4932.YBL075C	4932.YKR055W
4932.YDR191W	4932.YML124C
4932.YDR210W-A	4932.YPR158W-A
4932.YEL012W	4932.YER100W
4932.YIL078W	4932.YJL111W
4932.YDR247W	4932.YKL212W
4932.YAL040C	4932.YHL027W
4932.YGR044C	4932.YJR065C
4932.YGR034W	4932.YLR179C
4932.YBL105C	4932.YKL161C
4932.YOR288C	4932.YPL106C
4932.YIL052C	4932.YJL191W
4932.YER176W	4932.YML078W
4932.YDL229W	4932.YDR179C
4932.YBL084C	4932.YJL047C
4932.YHR082C	4932.YLR399C
4932.YGR148C	4932.YJL177W
4932.YKL010C	4932.YNL021W
4932.YDR092W	4932.YMR235C
4932.YJR059W	4932.YLR238W
4932.YGL216W	4932.YML064C
4932.YAL044C	4932.YDR148C
4932.YHR203C	4932.YOR182C
4932.YJL014W	4932.YJL081C
4932.YDL207W	4932.YDR192C
4932.YER094C	4932.YMR149W
4932.YML081W	4932.YOR341W
4932.YGL094C	4932.YHL027W
4932.YDL124W	4932.YPL061W
4932.YHR218W	4932.YLR197W
4932.YBR088C	4932.YPR022C
4932.YDR264C	4932.YPL209C
4932.YAL016W	4932.YNL201C
4932.YLR061W	4932.YPL090C
4932.YBL004W	4932.YML093W
4932.YBR048W	4932.YDL136W
4932.YDL226C	4932.YHR110W
4932.YER028C	4932.YLR305C
4932.YBL039C	4932.YJR109C
4932.YHR119W	4932.YJL056C
4932.YDR043C	4932.YLR399C
4932.YDR043C	4932.YHR128W
4932.YBR049C	4932.YJL138C
4932.YHR129C	4932.YPR186C
4932.YHR218W-A	4932.YLR344W
4932.YMR001C	4932.YMR042W
4932.YER111C	4932.YOL148C
4932.YDR176W	4932.YLR055C
4932.YDR043C	4932.YER081W
4932.YER028C	4932.YGR252W
4932.YML045W-A	4932.YOL103W-A
4932.YLL055W	4932.YPR104C
4932.YBR231C	4932.YER092W
4932.YOR213C	4932.YOR304W
4932.YCR042C	4932.YDR167W
4932.YDR172W	4932.YJR145C
4932.YLR214W	4932.YPL213W
4932.YOL080C	4932.YPL230W
4932.YGR148C	4932.YOL111C
4932.YCR083W	4932.YDL007W
4932.YGR133W	4932.YOL128C
4932.YFR015C	4932.YGR052W
4932.YJL095W	4932.YKL193C
4932.YFR032C-A	4932.YPL079W
4932.YJL056C	4932.YOR233W
4932.YGR056W	4932.YHR084W
4932.YFR005C	4932.YLR147C
4932.YBL027W	4932.YLR333C
4932.YNR032W	4932.YPL026C
4932.YGL086W	4932.YGL133W
4932.YER162C	4932.YOR257W
4932.YJR075W	4932.YOR321W
4932.YDR422C	4932.YDR477W
4932.YHR110W	4932.YLR268W
4932.YIL005W	4932.YJL045W
4932.YGR186W	4932.YPL184C
4932.YJL191W	4932.YPL081W
4932.YDR364C	4932.YGR129W
4932.YBR283C	4932.YHL015W
4932.YDR174W	4932.YGR186W
4932.YBR119W	4932.YMR240C
4932.YMR223W	4932.YNL121C
4932.YKR086W	4932.YNL163C
4932.YBR182C	4932.YPR186C
4932.YGR258C	4932.YNL102W
4932.YML025C	4932.YOR063W
4932.YHR082C	4932.YML117W
4932.YDR212W	4932.YPL091W
4932.YNL167C	4932.YOL165C
4932.YKL009W	4932.YPL131W
4932.YAL017W	4932.YJL128C
4932.YGR270W	4932.YML074C
4932.YER125W	4932.YLL024C
4932.YLR197W	4932.YML093W
4932.YBR212W	4932.YJR050W
